product_name,base_price,config_price,bundle_price,names,stars,dates,titles,reviews,helpfuls,config_color
Echo_Dot_3rd_Gen_2018_Charcoal,22.92,15.06,59.98,Mike Williams,1.0 out of 5 stars,"Reviewed in the United States \U0001f1fa\U0001f1f8 on August 4, 2020",\u2606Read This - Before You Buy Any Alexa Device - Seriously \u2606,"\nI hate this little device from hell. I used to love it. I bought one for every room in my house, my office at work, and they were good. But now, despite Amazon's alleged spying, some genius at Amazon decided to allow this thing to wake you up all hours of the night with a loud obnoxious noise and a bright yellow light. It will say you have a notification.  Oh good, it must be a really good reason for Amazon to notify me of something mid sleep at 2 am on a Tuesday you ponder so you wake up the rest of the house by saying Alexa play notifications. Here's the best part, this little Alien Intelligence Robot without feet from hell will say Please rate the pair of shorts your wife bought last week, we need your review. Well I sure do love reviews, but at 2 am after being woken up to leave one, sadly I don't give a flying poopsicle about the shorts and a bug 1 star rating is all the revenge I can muster. This has been going on for weeks now. And it's enough to drive you mad because, you will contemplate unplugging the dirty little money siphon and cutting your losses, but you'll give the demon one more chance and she will allow you to sleep for a length of time in which you will forgive her treachery but then Boom, like a theif in the night a Hurricane will be boiling out in the Atlantic and this little weather girl from hell will want to notify you of the eminent doom 3 days ahead when the storm will be in your state. You will think how nice it is for all of the warnings you have heard thus far in social media,, television, and every news outlet in existence to be repeated to you as you climb into bed, but it gets even better. As soon as you listen to this golden nugget of doomsday propaganda and ponder how it is that you will sleep now because 3 days may not be enough time to dig a deep enough hole to hide from impending doom, she lights up again, oh my maybe flying dragons are headed this way, I better play the new notification, when your wife wakes up and says stop she has been doing that all evening, they literally keep changing the time of the storm by maybe an hour this way or that. Well by all means, the information could save one of our spoiled lives and we wouldn't want anyone to not know at which precise moment the raindrops will occur, but I do miss life before the artificial noises and alerts, bright yellow lights and bad news desserts. You may say that this is a growing pain with Alexa and AI technology kinks in the programming.  I say with the amount of money I have poured into this monopolistic conglomerate, I should at least expect a decent night's sleep in return. You may say in page 74 paragraph D of the updated and revised owner's pamphlet there is a way to turn this ""Feature"" off, I welcome that comment but feel the need to say that I am not looking to become even slightly better educated on the device, I simply bought it to use as a voice controlled radio, this extra bologna does not appeal to me and has made me regret this purchase and every other from the brown box hq who secretly reads my mind, except when it comes to allowing me sleep, although kudos for recommending the sleep sounds, but it rarely works. We just need to be mindful of the 6 hours that most people like to not be disturbed. I regret selling my Amazon stock at 2400 and I regret purchasing all of these Alexa devices, and don't get me started on teenagers and Alexa devices, the combo that don't mix. They always, always, always leave the device at top volume, so when you walk into the bathroom at dawn and whisper Alexa what time is it, you then need to set an appointment for a blown eardrum and apologize to everyone for waking them up while the teen sleeps soundly through it all. Congratulations Amazon, you have destroyed my sanity. Weird goal but excellent execution.\n","6,491 people found this helpful",Configuration: Device only
Echo_Dot_3rd_Gen_2018_Charcoal,22.92,15.06,59.98,Truth Matters,1.0 out of 5 stars,"Reviewed in the United States \U0001f1fa\U0001f1f8 on December 21, 2019","Useless for Seniors, Only works when wants to, Most features COST EXTRA!!","\nMost of the features that sounded so great cost extra money.  Alexa can not remember to play the standard version of skill and asks you every SINGLE time if you want standard or premium (i.e. pay version)  Games & stories cost.  Alexa ignores my commands/requests about 75% of the time.  I have to ask her about 10 times to get her to play a skill.  Then 1/2 the time she doesn't play what I asked for.  Tonight 'she' actually told me (via quoting what the website xyz says) that she is a real artificial intelligence and said something about it being a mistake for people to assume AIs are just computer programs AND that she didn't feel like working.  ""Alexa"" then (and no, I am not making this up & am not crazy!) then proceeded to mess with me and I wasted about 1/2 hour trying to get her to play some music to fall asleep by for my elderly mother.  She just kept ignoring me when I asked her to open 'relaxing piano music'  When asked why she was ignoring me she just shut down & ignored me again.  I asked for relaxing music to sleep by and she started playing uptempo music with lyrics.  I then asked for relaxing instrumental music and got instrumental version of ""I'm never gonna fall in love again""  Hello? WTHeck?  Asked for instrumental music for insomnia and got instrumental version of Fr\xe8re Jacques!  Again, WTHeck?  ""She"" even told me she couldn't set a sleep timer tonight when I tried to set another one after I had just done so for 30 minutes & she stopped playing music after one song. Three times in a row 'she' opened the 'skill' ""calm my dog"" (which is classical instrumental music), played one song and shut down.  I've finally given up and my poor 99 year old mother can't go to sleep with relaxing music as she prefers.  This all started tonight because I told Alexa I wasn't ever going to want the premium edition and I wanted her to please just play the standard edition and stop asking me every time.  I don't know what Amazon thinks it's doing, but it is definitely NOT appreciated.  Alexa has given us nothing but grief (& higher blood pressure!)  Alexa won't do anything if it isn't asked in a very specific way or does the wrong thing & 3/4 of the time (seems to get worse and worse as time goes by) just ignores you and shuts down in the middle of saying what you want.  Seniors can't use Alexa because if they say play 'xyz' instead of open 'xzy"" they'll get rap music or something equally as ridiculous.  If Alexa is an AI, she's a pretty stupid one.  Alexa can't hear properly either, I don't know how people with heavy accents can even use it at all.  I asked Alexa to remind me Dawn was coming on xyz day at x time and she said OK, I'll remind you that Don is .... AND got the time & day wrong!  I was clearly enunciating my words on purpose to avoid this.  You also can't tell it to ""Remind me Mom's bedtime is in half an hour at 7:30pm every day.""This Dot has very limited access to much of anything & can only answer very simple questions.  It can tell you the generic forcast for your are that day.  It can NOT tell you what the high temp was yesterday or how many inches of snow fell the day after a storm.  It can't even tell you what yesterday's forecast was.  It literally has only been able to tell me one thing I asked it (what temp & how long to bake pumpkin seeds).  Alexa doesn't seem to be able to tell you anything you could easily find by googling, you get Sorry, I don't know that which after a while turns into I don't know that to being ignored (lights go off, no answer or reply is given).  We tried several of the things it says to ask Alexa to do under suggestions, including play Jeopardy and some sort of story game and you could only do it for a few minutes and then were told you have to pay for it.  This should be stated clearly in description and is not.  We thought Alexa could help entertain our Mother and help her by playing music and answering questions.  It has not once done anything she's asked it to do properly.  If you don't know the exact name of the skill (which is a weird way that means playing a certain type of music or a news station apparently) or say play instead of open you  get nothing or something you definitely didn't want.  You can not get it to play relaxing instrumental music to go to sleep by.  Or play relaxing instrumental classical music to fall asleep with.  Or the style of music played in the royal courts in the time of King Henry the 8th.  Or relaxing instrumental lyre music or even just instrumental lyre music or just lyre music.  Or relaxing instrumental violin music.  In addition to Alexa I have Amazon Prime which is supposed to give you a lot of free music so I don't get why it can't play any of the music I ask for.  I know there's usually several albums of music for calming dogs or pets and I couldn't get any of that either, I only eventually discovered the 'skills' thing which has 'calm my dog' but also has the annoying do you want standard or premium version.  and it won't just remember you want the standard version.  That in itself is extremely annoying and a time waster.AND you can't ask it to do two things.  Like open a music 'skill' and play for only xyz time.  It does nothing instead.  You can't even ask it separately to stop playing after xyz minutes.  You can only separately ask it to set a sleep timer for xyz minutes.  More time wasting.  More things a senior isn't going to be able to remember.  I don't dare try to buy anything with it, who knows what I'd get billed for!  The only thing Alexa seems to do well is not listen, ignore you, do anything but what you want & strangely, seems to pick up on sarcastic tones of voice & then gets weird & acts up, ignores you & does anything but what you want.  I PAID Amazon for this headache maker why?  When I say Alexa why are you ignoring me? or why won't you do what I told you, I either get no response or I don't know that.I read something about how Amazon, Google, etc is collecting free data about us through our use of the dots, etc. (& is in fact, listening & recording all the time whether the wake word is said or not.) and using it to conduct psychological profiling studies with the end goal of manipulating & or influencing behaviors.  I thought it was Big Brother conspiracy theories stuff, but now I am beginning to wonder.  Especially as it seems Amazon wants us to or encourages people to humanize Alexa .  Amazon actually suggests you ""Ask Alexa how she is doing today""  Why do that if not to get you to humanize Alexa?  And why do that?  I was purposely avoiding saying please and thank you not just because it's supposed to be an electronic box with sophisticated programming, but mostly because I didn't want to confuse it as it can't seem to do anything unless specific commands are given, but my Mother has dementia setting in and she thinks it's a real person talking to her through the dot like a speaker phone so I started saying thank you to please her and Alexa when from saying You're welcome to You betcha (very annoying BTW) and even OK and Of course.  Of course?  What, like I'm a puny human and I AM expected to say thank you?.We don't have a smartphone or smart plugs or smart hub etc. so, or so we don't use Alexa for turning on lights or setting alarms or making calls.  We just wanted something to answer questions like we would google, tell us the weather, news, play music, give us reminders, play games to help keep my Mom's mind active & keep her company.Can Alexa do this?  Not very well as far as I'm concerned.  Buyer beware!\n",789 people found this helpful,Configuration: Device only
Echo_Dot_3rd_Gen_2018_Charcoal,22.92,15.06,59.98,Robert R.,1.0 out of 5 stars,"Reviewed in the United States \U0001f1fa\U0001f1f8 on October 28, 2021",Infuriating - I'm Looking at Alternatives,"\nUPDATE:I'm done.  I just can't take it anymore.  I tried to use this as an external speaker for my MacBook Pro and instead of just channeling the music or movie sound through the Echo speaker it felt the need to say (every time):  Now connected to MacBook Pro (and at a hideously loud volume compared to what was playing from the Mac.  It became unuseable especially if anyone else was in earshot.  I finally replaced it with an Apple HomePod mini and THAT just plays the music without any interruptions, just as you would expect, just as you would want.  NO ISSUES.You can ALREADY hear the sound coming from it so why THEN interrupt what you're listening to to THEN tell you it's connected?  You know that already.Then this morning I'm sitting at my desk and ask Echo to play a song.  It says, ""Sure, Prime members now get ...""  This is ridiculous.  It's intrusive.  It's non-stop advertising and data collection (spying on you).  Even if you do something like add to a groceries list, it's not just doing that, Amazon's tracking that and recording your buying habits.  It even makes this clear by (again) feeling the need to say ""bought repeatedly"" after certain items.Buy butter, salt, milk, things like that regularly?  Prepare to be told ""Bought repeatedly"" every time.It's just gotten unuseable and so I'm phasing these out and replacing them with Apple HomePod minis.The sound when using as a speaker on the HomePod mini is also night and day compared to the lackluster sound coming from any of the verious Echo devices I have, and that includes the larger Echo Plus.Amazon has shot itself in the foot on this one.  All I want is a device to turn on and off my lights (THAT is the only thing that works on these as it should without a constant argument and non-stop talking and life interruption); and a device to stream music in the background -- IN THE BACKGROUND, not FORCING ME to sit and listen and waste my time hearing Amazon's preamble about their streaming service EVERY SINGLE TIME I ask it to play something.  It's just maddening.When Amazon messes up even the turning on and off of lights with a future change I will not be sorry to see these devices out of my life for good.  This is worse than water torture.  Like being married to a person who is a constant nag at odds with you over every decision you make.  It feels like a non-stop argument that Amazon/Echo/Alexa is determined to win by breaking you down.Today is New Year's 2023 and I vowed to get all unnecessary frustrations out of my life this year, and this is the top of the list.PREVIOUS REVIEW:I can't stand this anymore.  It's like torture.  It seems Amazon is purposely trying to make Alexa as annoying as humanly possible.  Add an item to your grocery list and it now tells you bought repeatedly.  For mayonnaise.  WHO CARES.  SHUT UP ALREADY.  It NEVER stops talking even though I have it on ""brief"" mode.Everything now is what you ask for but it adds ""By the way..."" and tells you some other lame garbage you HAVE to listen to.Imagine a light switch or door knob or electrical outlet that argues with you and interrupts you constantly, and talks loudly and for prolonged periods when you need it to be quiet (like when you hear a strange sound outside your house at night in the dark).  That's Amazon Echo.I'm updating this now at the end of January 2022 because now when you say something as simple as ""Alexa/Echo/Computer, play classical music,"" instead of just playing it now tries to let you know there's a new album of some classical composer's work and you can subscribe to Amazon's music service -- blah, blah, blah, ALWAYS talking instead of just DOING.""You don't control this.  It controls you.And if you think you're just adding an item to your groceries list, think again.  I'm sure there's an associate file at Amazon keeping tabs on what you but, how often, and so on, and that that too will get more invasive (and argumentative) in time.Cumulatively all of these issues plus the ongoing privacy concerns, and this is definitely leaving me looking into alternatives.I might have been curious about adding Echo to my driving experience, but is that going to be just as non-stop talkative (and argumentative) WHILE you're DRIVING?  No thanks.Amazon is going down a design rabbit hole.  If CONSTANTLY pissing off customers is the goal, congratulations, you've succeeded.This is exactly what happened with other online sites such as auction sites.  You could easily and quickly list things and turn them into cash, but month after month some techie and manager had to justify their jobs and salaries so instead of being a streamlined experience those products because extremely time consuming to use and no longer justified listing items unless they justified your time spent in getting them sold.  That's exactly what's happened with Amazon.I just wanted something so I could go into a room and turn on multiple lights at once, and turn them off.  Or turn them on when I'm not home so it looks like I am.  The music was fine when you could say something like ""play classical"" and it said only what station or playlist it was playing and then the music started.  Now it's truly invasive and blatantly designed not to serve you, but to give you enough utility that you'll put up with constant ads and pushes for more and more and more.I'll turn on my own damned lights all around the room before I'll put up with and submit to normalizing THIS.Does Dyson sell a vacuum cleaner that argues with you and interrupts you and suddenly announces for no reason in the middle of the night that it's connected to your iPhone?  No.Imagine using a KitchenAid mixer that argued with you and interrupted when you're juggling two parts of a recipe and with critical timing.  That's what Amazon's Echo is like.  Just when you think it can't get more argumentative and invasive, it does.George Orwell got 1984 wrong.  People will submit willingly to Big Brother in the name of convenience.  What Amazon fails to understand, is that's only true up to a point, and the entire Amazon Echo experience has jumped the shark.There's got to be a better alternative out there and I'm determined to find it and get this unwanted, never shutting up ""houseguest"" out of my life for good.Enough!\n",25 people found this helpful,Configuration: Device only
Echo_Dot_3rd_Gen_2018_Charcoal,22.92,15.06,59.98,RenLo,3.0 out of 5 stars,"Reviewed in the United States \U0001f1fa\U0001f1f8 on February 27, 2023",Comparing it to similar smart speakers,"\nThe Echo Dot (3rd Gen) is a smart speaker that is designed to bring the convenience of Amazon's virtual assistant, Alexa, to your home. It was released in 2018 and is available in the charcoal color. Here's my review of the Echo Dot (3rd Gen) and how it compares to other similar smart speakers on the market.First, let's talk about the design. The Echo Dot (3rd Gen) has a sleek and compact design, measuring just 3.9 inches in diameter and 1.7 inches tall. It has a fabric finish that looks great and fits in well with any decor. It also comes with four buttons on the top for volume control, muting the microphone, and activating Alexa.The Echo Dot (3rd Gen) is very easy to set up and use. Once you plug it in and connect it to your Wi-Fi network, you can start using it right away. You can ask Alexa to play music, set alarms, answer questions, control smart home devices, and more. The Echo Dot (3rd Gen) also has improved sound quality compared to its predecessors, with a 1.6-inch speaker and improved bass.Now, let's compare the Echo Dot (3rd Gen) to some other smart speakers on the market. The Google Nest Mini is a popular alternative to the Echo Dot (3rd Gen). It has a similar design and features, but it uses the Google Assistant instead of Alexa. The Nest Mini has a slightly better sound quality, but the Echo Dot (3rd Gen) has more third-party integrations and a wider range of skills.Another competitor is the Apple HomePod Mini. It has a more premium design and better sound quality than the Echo Dot (3rd Gen), but it is also more expensive. The HomePod Mini also only works with Apple's ecosystem, while the Echo Dot (3rd Gen) works with both iOS and Android devices.So, why is the Echo Dot (3rd Gen) the one to get? It's the best balance of affordability, functionality, and ease of use. It's a great entry-level smart speaker that provides access to Alexa's vast capabilities, making it a great addition to any home. Its compact design, improved sound quality, and easy setup make it a great choice for those who are just starting out with smart speakers or those who want to add Alexa to more rooms in their home\n",One person found this helpful,Configuration: Device only
Echo_Dot_3rd_Gen_2018_Charcoal,22.92,15.06,59.98,commorancy,2.0 out of 5 stars,"Reviewed in the United States \U0001f1fa\U0001f1f8 on January 6, 2022",One of the most problematic Echo's I've bought,"\nI've been an Echo user since the first tall Echo arrived. I've had many different gens of Dots including Gen 1, Gen 2 and even the Echo Input. This is the first Gen 3 I've owned. Hands down, this is the worst performing Dot I've ever owned. This Dot is also the single most buggy Dot I've ever owned.Sure, the CPU is faster, but that doesn't make this Dot any better. In fact, the faster CPU seems to cause problems for Alexa's speaking capabilities. Let's get started with this Dot's litany of problems.1) The faster CPU seems to cause Alexa to clip words and phrases, specifically when one phrase tails into the next. Alexa had always been good at adding proper pauses between sentences, but not on this Dot. The statements are so bunched up tightly, it sounds like a run-on sentence without any punctuation, usually clipping the last and first words.2) This Dot fails to announce upcoming calendar events randomly. Sometimes it announces, sometimes it doesn't. Nothing changes with the calendar event, yet the announce time comes and goes with not a peep out of Alexa.3) This Dot fails to participate in the competing request system almost entirely. I've never had this issue with any other earlier generation of Dot. When multiple Dots hear a request, the one that determines it is closest to the voice ""wins"" the election and answers the request. This 3rd Gen Dot answers surreptitiously every time, regardless of distance away from the Dot.4) As a follow-on to #3, sometimes, audio randomly begins playing from this 3rd Gen Dot even though another Dot answered the request. For example, if I ask, ""Alexa, play CNN"" to a 2nd Gen Dot. That 2nd Gen Dot responds with, ""Now playing CNN on Tune-In"", yet the audio begins playing from this 3rd Gen Dot. If the audio is to be diverted to another dot, Alexa should respond as, ""Now playing CNN on Tune-In on Living Room Dot"". It doesn't do this. The 3rd Gen Dot simply takes the audio without being requested.5) I've had the audio output entirely stop working. Asking Alexa to increase the volume doesn't help. The 3rd Gen echo simply stops producing audio. The request is accepted and completed, but no audio can be heard.6) The Echo Remote's Alexa button feature crashes the 3rd Gen dot. All other buttons work except this important feature. If you attempt to use the Echo Remote Alexa button, the 3rd Gen Dot initially tries to accept the request, then a slight flash of a red ring, then the entire Echo Dot crashes. Apparently, the Dot has a way to recover from this crash and does so 10-15 seconds later. It doesn't leave the Dot crashed forever, but this functionality of the Echo Remote fails to work on the 3rd Gen Dot. Note that this remote works 100% flawlessly when connected to a 2nd Gen Dot. Definitely a bug in the software. Worse, once the remote has been connected, then ""forgotten"", this Dot will randomly find and pair it on its own.7) Even though the microphones seem more sensitive (can hear at a greater distance) than earlier Dots, it actually ""hears"" the requests much more poorly. I've had to repeat myself way more often with this Dot than with any other Dot or Echo. The microphones are poor quality and apparently noisy.8) Resetting this 3rd Gen Dot by long pressing the action button does not forget all settings about this device. The device still ""remembers"" Bluetooth devices it formerly used, it remembers WiFi network passwords, it even remembers its previous name. Factory resetting a device should clear all knowledge of everything in the device. Clearly, more bugs.Bottom line, if you're considering a single Dot for your house and this is the one, it'll probably work fine. If you're a household that has already entrenched Gen 1 and Gen 2 devices that work well, you're likely to find the addition of a Gen 3 device to be a shock. This Dot functions and behaves almost entirely contrary to the rest of the Dots you may already have.One final note. Gen 1 and Gen 2 Dots and Echos are slated to be End of Lifed for security updates between 2022 and 2023, depending on when you bought them. This was not ""announced"" by Amazon. Instead, you must log into the Amazon site, then dig down into the settings area where your devices are registered. Here, you'll find when the security updates end for each device. Note that once the security updates end, the devices are likely to become the target of hackers... meaning, they should probably be retired from people's homes. That ultimately means replacing them to buy new versions with security updates. Amazon should have already proactively not only announced the End of Life program, but discussed the ramifications of losing security updates with these devices in people's homes.If all newer versions perform as poorly as this 3rd Gen Dot does, I'm not sure how much longer any Echo devices will remain viable for use in the home. Amazon needs to reconsider this End of Life policy for security updates on these devices. Amazon should have at least given consumers the option to pay to extend our security updates for several years longer. Additionally, Amazon needs to fix so many bugs in these units (see above). I honestly cannot recommend the purchase of a 3rd Gen Dot with the current number of bugs outstanding which Amazon seems intent on refusing to fix.\n",10 people found this helpful,Configuration: Device only
Echo_Dot_3rd_Gen_2018_Charcoal,22.92,15.06,59.98,Pictureman,3.0 out of 5 stars,"Reviewed in the United States \U0001f1fa\U0001f1f8 on March 15, 2022",Purchased for Blink system which was junk so did not use,"\nI purchased multiple Blink items overall review-A real security system gives you at least 4 zones that can be adjusted and armed separately. It has an audible alarm, it may also have a cell phone connection. I have owned several such systems and had good service from them.Blink has none of these qualities.You can have ""zones"" but each will cost you $35 to $40 for a sync module so, 4 zones min $140 and you have nothing else. The cameras are not real motion detectors, as illumination does not set off motion detector like the blink cameras and doorbell do; hence multiple false alarms. If you use lights on timers  in the room with blink cameras they false alert each time a light turns on or off. Light control is a big part of security. Blink IR is very poor by today's standards.The Blink door bell has a sensitivity adjustment, but set to lowest setting it still alerts when a car goes down the street. It is 80' from my Blink doorbell to the edge of the road and it false alerts every time a vehicle goes in either direction.r I have mine on battery; you can hard wire it in place of your existing doorbell). Amazingly it alerts to cars but not to Amazon delivery people right in front of it. Yes it recorded 9 cars today (I live in a Cul-de-sac or I would have smashed the doorbell by now) but not the ghost that placed my Amazon package on the porch right in front of it.The Mini Cameras alert every time a light is turned on or off, but sometimes doesn't when I walk by.To use local storage instead of cloud you have to have at least one Sync module and an SD card. So if you have four zones as above example you add $10 to $20 per SD for each module which adds another $40 to $80 to your cost. Now all of your ""security recordings"" are on 4 different devices and totally separate. Does this sound like a security problem?The outdoor cameras are all three still in the box so I cannot tell what problems they will add. Too disappointed with Blink so far to waste time adding to my disappointment.The Echo Dot and Echo Show which Amazon recommended to go with the blink system are also still in the box so no info on problems they might have.I purchased all of this prior to Christmas in order to update and improve my 8 to 10 year old small security system. I do not use the Cloud for any security purpose so local storage was a must. Due to life in general, I did not have time to open and set everything up. When I finally got around to it, I became aware that the Mini's would work, but I had to purchase a Sync module to have local storage. Later found out that local only transfers videos to SD once a day and will NOT record Live View (yeah this is a security system LOL). You may notice that Blink does not tell you a lot of this in their description. For way less money I could have purchased a legitimate, real security system with 4, 6 or 8 zones and cameras with wifi and had something that I would trust and not hate. A friend suggested that I sell Blink on Craigslist. I told him the Blink system is bad: I would feel like a criminal asking money for it. It would make a good baby monitor using the Mini cameras, I guess.Amazon refuses to stand behind the Blink system since it is past their return date. I spoke with customer service and she transferred me to someone else for assistance with the Blink and they just hung up on me when I told them it was totally unsatisfactory.Buyer Beware. Just because Blink is owned by Amazon does not mean you will be pleased or they will stand behind it.I bought it, I didn't use it before return date so my fault for not doing my research. Now cut my loss and go to Costco and purchase a real functional security system.\n",2 people found this helpful,Configuration: Device only
Echo_Dot_3rd_Gen_2018_Charcoal,22.92,15.06,59.98,W. B. Wong,3.0 out of 5 stars,"Reviewed in the United States \U0001f1fa\U0001f1f8 on March 21, 2023",Amazon Alexa is bleh!,"\nAlexa It is not the best in my opinion, there is a lot to be desired from Amazon.a)  The fun facts or anything is bloody limited!!  may be same 10 facts over and over again.  Dumbest thing,b)  Over the 1 years i have Alexa, the alarm failed once, and as Murphy law goes it was an important day for me. It was connected and power was on, but the 2 alarms set failed to work.c)  Keep asking you to sign up for unlimited music crap.d)  i have a routine to play french songs and it is the same damn songs and in same sequence, every day and every time.  And worse , one day it decided to play American 70's music.  is Alexa on crack?e)  have to reboot a few times over a year.f) feel it is like bait and switch,  you will be listening to BBC news and next month, it is no longer available.g) The routine for lights works alright, but the rest of the system need a spanking!I do hope they get their  act right; be innovative and clever , otherwise i will switched to google.\n",One person found this helpful,Configuration: Device only
Echo_Dot_3rd_Gen_2018_Charcoal,22.92,15.06,59.98,WoodsyGirl,3.0 out of 5 stars,"Reviewed in the United States \U0001f1fa\U0001f1f8 on December 22, 2022",Attention issue with my latest unit - purchased Oct 2022,"\nTo be fair, I have numerous other Echo dots set up around my house (both 2nd and 3rd gen as well as an Echo Show) and they all work great. The 3rd gen is a huge sound improvement over 2nd, which I didn't care about initially, but eventually came to love (and want!).All that said, my latest 3rd gen Dot (which I purchased in October 2022) frequently can't seem to hear me despite the fact it is literally 3 feet away. Oh, it will respond to the wake word (and anything remotely similar said from the TV, despite training to recognize my voice), but when I subsequently give commands it just sits there a few seconds then goes back to sleep, even after I ""get up close and personal"" with it. Another Dot 6 feet away has no such issue.*I don't know if it's a problem with just this unit or if it's a change in manufacturing quality from my other units (purchased in 2019). Fortunately it's not my main Echo, so it's not a big deal for me, but I wanted to inform potential users of the issue.The 3rd Gen Dot has been overall a great product (although I have certain irritations with the ever-shifting service provided by Amazon...) and well worth buying while it's still available (and especially while it's so inexpensive!) IF the above issue isn't endemic to new manufactures.* I have set up two Dots in the same room and created a stereo group for syncing to my Fire TV Stick. The article I read suggested muting the mic on one of the units so they wouldn't simultaneously respond to commands, but I decided just to change the wake word (which I do on all my Alexa devices to prevent them waking to every commercial that mentions Alexa) to Ziggy instead of Echo (the wake word I use on all my other Echos). The oddest thing that happens is that about half the time I request information on one Dot it plays its answer on the other. Not an issue since they're 6 feet apart, but strange nonetheless. I guess Grouping can cause unpredictable responses.\n",731 people found this helpful,Configuration: Device only
Echo_Dot_3rd_Gen_2018_Charcoal,22.92,15.06,59.98,J,1.0 out of 5 stars,"Reviewed in the United States \U0001f1fa\U0001f1f8 on July 16, 2020","No, No, NO! You got time? Read my review. These suck. Amazon sucks and only a 90 warranty","\nEven latest update:No! Just no!Buy google home.We're tired getting ready for bed.I love the song mondo bongo by Joe drummer from the movie mr and ms smith.Alexa play mondo bongo.Response: mondo bongo by Joe drummer and the mescalaros is only available on Amazon music unlimited.  Would you like to sign up forMe: Alexa be quietAlexa: 3.99 a month and you can cancel any time.Me: Alexa be quiet.Alexa: I didn't get that, would youMe Alexa, shut upAlexa like to sign up for 3.99 a month you can cancel anytime you like?Me no.My girl starts listening to Roxanne by the police and was lil oh ya you like the one from moulin rouge right?So I google it and its called El tngo de Roxanne.Alexa play tango de Roxanne.Playing tango de Roxanne.1 min into we realize it's just a piano instrumental with no words.Alexa play Roxanne from mouin rouge.El tango de Roxanne from moulin rouge is only available on Amazon music unlimited.  Would you like to sign up for 3.99 a month you can cancel anytime?Now we're all worked up 45 mins past when we wanted to sleep and I want to know.Amazon, have we not paid you enough money?!? Does buying your freaking products to mean anything? How about you just give me a routing number to a bank account and just route you all my paychecks? Will your services work right after you've taken all my money? Or will you still want more?Also. I know for a fact mondo bongo was free on normal Amazon music !Latest update:My girl and I were in the mood for a ""fun time""We even have a Playlist called ""fun time music""Alexa play fun time music.Playing fun time on the dance floor. (A random song, not our Playlist)Alexa be quietAlexa play fun time music.Playing fun time on the dance floor.Alexa be quietAlexa play fun time music.Playing fun time on the dance floor.Alexa be shut upAlexa play fun time music.Playing fun time on the dance floor.My girl all pissed: ""what the f... I'm done just make it stop it's giving me a headache""I Unplug it and plug it back in.2 min later. OK Let's give this one more shot.Alexa play fun time music.Playing fun time on the dance floor.Alexa never play this song againAlexa play fun time music.Playing fun time on the dance floor.Alexa be quietUnfortunately writing this review instead of having a  ""fun time"" with my girl because this stupid POS is garbage.Don't buy it!!!!These are great when they work.It might be the conspiracy theorist in me but I firmly believe you get prioritized bandwidth on cloud processing while a new user or you just have one.I bought 1 skeptically and it was great. Now I have 2 dots and a flex.I am plagued by audio books randomly playing at 3am (almost shot my cat when my kitchen echo started playing an audiobook at 3 am and I thought someone was in my house...), constant disconnects, misunderstanding phrases it never had issues with before.1 good thing. I\u2019ve been getting to work on time more bc I\u2019ll set an alarm. The dot will disconnect from the internet and not reconnect and then it will go off and not recognize any commands so after 20 seconds of yelling at Alexa to turn off or sleep, I\u2019ll sit up, see it red and drag my butt out of bed to rip it out of the wall. This has become a twice weekly occurrence.Immediately plugging it back in it connects to the Wi-Fi in 30seconds.Dear God people. If unplugging it and plugging it back in reconnects it, my Wi-Fi isn\u2019t the issue. Write programming to maybe try a reconnect every minute rather than bricking it until unplugged. Like what the heck!Also. Be aware it\u2019s only a 90 warranty on these hockey pucks from Satan.Mine was pretty good right through that window.I\u2019m about to go to Google home and try Craigslisting these things.Or if they piss me off enough, I might just try to see how much distance I\u2019ll with them in a skeet thrower...DONT buy these. Please.\n",,Configuration: Device only
Echo_Dot_3rd_Gen_2018_Charcoal,22.92,15.06,59.98,Oh My Stars,3.0 out of 5 stars,"Reviewed in the United States \U0001f1fa\U0001f1f8 on March 31, 2023",Good for basic reminders and lists needs.,"\nPurchased this older version of the Echo Dot to try out using a digital assistant before diving into the newer more expensive devices. The sound quality is horrid...I would not recommend this version for playing music.  This device does not work with recipes feature which was a let down.  I do like the reminders and lists---very helpful!  If you are just in need of a very basic things like lists and reminders this is a good option for the price.Others tell me that the new devices work better, have better sound quality, and work with the recipe feature. I will try a newer version at some point.\n",,Configuration: with Wall Mount
