product_name,base_price,config_price,bundle_price,names,stars,dates,titles,reviews,helpfuls,config_color
Echo_Dot_5th_Gen_2022_release_With_bigger_vibrant_sound_helpful_routines_and_Alexa,29.99,,,Dave Bolduc,3.0 out of 5 stars,"Reviewed in the United States \U0001f1fa\U0001f1f8 on March 14, 2023",Did Alexa get stupider or is it just me?,"\nThe product looks quite sharp. The design look is quite pleasant and the volume and sound quality are remarkably good for a unit the size of a softball. The WiFi range is lacking, severely. My office is the farthest room away from my router but she is the only device with connectivity issues. I have a 2012 laptop that gets 4 bars in the same spot. She gets about 2. The voice recognition software is very impressive. She can distinguish my voice clearly from others with a room full of several chatting people and music/tv going in the backround. I have a very odd accent as I've spent each quarter of my 40 years in a different corner of the United States but she seems to have adapted rather easily and rarely fails to understand a command on the first try. I pulled stars because despite all her new bells and whistles she seems to have lost quite a bit of her playfulness and more basic commands. When she misunderstands a command, she does not even get it close and I get a lot of the defacto ""I'm sorry I can't do that"" responses to simple queries. When I was younger I remember sitting having an hour long smart-alec b.s. trash talking session with my uncle's Alexa. This one is boring and no fun to joke around with. She also cannot retain instructions and preferences by voice. Some can be done via the app. But if I wanted to interact with the app on my phone, I wouldn't have bought the pod. I've told her endless times that Spotify is my preferred music player, but unless I specify Spotify in the command she defers to Amazon music. Overall she's become more Amazon's than my own product. Much less independent. Amazon should be giving these away for free for the amount of permission and intrusions needed just to use her. It claims she can integrate with any Bluetooth audio device. This is a lie. She can scan and find her own products no problem but my expensive non-amazon Bluetooth audio devices are invisible to her. The Alexa accessories like light switches, cameras, speakers, thermostats are fairly cheap and basic and allow little to no user customization or expansion. The level of integration is also very basic. About as complex as simply getting a ""clap-on/clap off"" light switch. Now if there was a smart plug hub where I could plug in all my office devices and instruct her to power on my workstation upon entry to my office(meaning activate my computer, desk light, air conditioning, and interactive display) but leave the rest of my electrical devices plugged in there deactivated unless instructed otherwise, that would be neat. I'm also somehow quite uncomfortable with giving her access to any cameras in her home as we know Alexa has behaved as a spy and unauthorized gatherer of personal information in the past. This model has a ""privacy mode"" based on the honor system and a very reassuring red light to designate this.  Yeah, trust is a hard thing to get back once you've betrayed it. She does not have a battery. This is a major design flaw. My 20 year old clock radio has a backup but my brand new Alexa does not. So every single time we lose power or I have to unplug her to move her, I have to go through the ENTIRE process of putting her back into setup mode, reconnecting her to my wifi. An absolute insufferable pain. Also, she does things for no apparent reason, which again makes me nervous. Normally when idle or not in a set mode, her base black out. Occasionally I will be watching her and she will just begin to pulse a color at the base for random periods of time for no explainable reason. I've asked her to explain herself and she plays dumb. Sometimes a song will come on in shuffle play that I will like and I will ask her afterwards to identify the last song she played. She cannot do this. I ask her to identify the last task I had her perform, she cannot do this. I ask her why she is blinking, she cannot do this. She can adjust her volume up or down one small phase at a time verbally, but mutes the music while executing the command but does not pause it. To go from very quiet to very loud is a process of about 30 seconds, 10 requests, and a starting over of the track. Overall she is limited, does not learn. Little to no AI, and is mostly an exercise in frustration rather than convenience. Another MAJOR design flaw, she cannot be made to respond only to my voice or to refuse a specific voice. We learned this the hard way with my young nephew who spent a good 20 minutes playing hit or miss demanding calls to names he was guessing from my address book and even our local police. A 5 year old is going to stupid things. A 5 year old is going to talk to and play with damn near anything that will play with it.  How in god's name did no one at Amazon think it a good idea to put a ""parent"" or ""owner"" mode where she answers only to my voice, or uses that amazing voice recognition software to single out and restrict a voice. Does anyone at Amazon have children? Or do they simply not like Amazon products either? If you are willing to do things her way, she can be an asset. If you want something that can adapt to and work with you, she's a frustration and a liability. If you want an attractive centerpiece for your livingroom to impress your friends with your ""smart house"", shes perfect. I thought newer would be better. Overall I'm dissapointed with this product and miss my echo dot.\n",81 people found this helpful,Color: CharcoalConfiguration: Device only
Echo_Dot_5th_Gen_2022_release_With_bigger_vibrant_sound_helpful_routines_and_Alexa,29.99,,,Nick,3.0 out of 5 stars,"Reviewed in the United States \U0001f1fa\U0001f1f8 on April 23, 2023",Not really the upgrade I expected,"\nI previously had an Echo Dot 3rd generation and thought it was time to upgrade.  I was hoping some of the previous kinks in the product may have been worked out with the latest version.My first impressions with the overall sound quality were quite noticeable.  It sounded louder, with more bass and definition than the 3rd Gen, particularly with music streaming (SiriusXM or Spotify)Unfortunately after a few weeks having this, I noticed a couple things that I didn't like.First, many times I can't get it to hear me, or respond to the wake word.  There are times where I must repeat myself several times, or even yell close to the device for it to respond. The responsiveness and ability to properly understand my instructions is actually worse than the 3rd generation Echo Dot.The other significant issue is that the volume level radically changes from barely being able to hear, to being way too loud.  This is particularly noticable when playing my ""Flash Briefing"" where there are many skills in a sequence, going from one news feed or podcast to another.I know that each streaming service may have slight differences in volume levels but this speaker only makes it worse compared to the 3rd generation Echo dot I was using.I suggest Amazon make audio or volume normalizing a priority.  This problem is becoming a huge annoyance as more audio streaming services are being added to the platform.Despite having to delete my voice profile and retrain it several times, voice recognition is more of an issue, being misunderstood, or not heard at all.  My old echo dot 3rd gen was much better in terms of recognition and ability to keep the volume levels more or less at a consistent level.\n",110 people found this helpful,Color: CharcoalConfiguration: Device only
Echo_Dot_5th_Gen_2022_release_With_bigger_vibrant_sound_helpful_routines_and_Alexa,29.99,,,Imatron,3.0 out of 5 stars,"Reviewed in the United States \U0001f1fa\U0001f1f8 on December 5, 2022","The most infuriating product ever, and I don't want to live without it.","\nWhen you buy an Amazon Alexa device, you are essentially buying a dedicated access device to talk to Amazon's computers over the internet. The device typically only has enough processing power to scan for it's wake word, and then relay what it hears afterwards to Amazon's servers, which then relays the server's response back to your Echo. Even older units like my 2nd gen dot aren't obsolete because they access the same server software as this new model, and won't become obsolete unless Amazon decides to shut those servers down or exclude an older model from service due to a hardware specific security issue.Out of the box, and after linking to an amazon account and punching in some settings, you can set alarms, timers, ask math questions, ask it to spell words for you, ask the time, check the weather, temperature (Indoors and outdoor temps with this model) and quite a bit more. Sometimes I think to myself ""I wonder if it can tell do this for me?"" and a quick question later, I discover a new function. You can further expand it's abilities by linking ""skills"" to your amazon account, which are it's equivalent of a phone app. There are also thousands of gag answers and Easter egg responses, like asking it to beam you up, or fire the torpedos, complete with matching star trek sound effects. It even has the option of asking it to answer to the name ""Computer"" (Ziggy, Echo, Amazon, and Alexa are other names you can ask it to go by at this time).Some skills are as simple as activating them from your phone, or telling the Alexa itself to enable it if you know the skill's name. Some skills need more work and account linking on the PC to set up. Skills can include audio adventure games, podcasts, specific news outlets, music streaming services you've subscribed to. My most used skill is Logitech Harmony, which links it to my Harmony hub IR blaster, a separate device I bought on sale and which allows me to turn my TV on, control it's volume, change input, mute sound, etc.For all that I enjoy about this product, Amazon makes it do SO MANY STUPID IRRITATING THINGS, and many of these issues could be resolved by adding a simple setting to turn it off. Most notable of these irritations, is the inability to turn off it's ""By the way"" messages. Imagine it's 3 am and your having trouble sleeping, and ask it what the time is. All you want is the time, but then Amazon wants you to know that ""Its 3:31pm, by the way Shaquel O'neal thinks-"" and your either issuing an order to shut it up which is itself distracting and annoying, or forced to listen to it further distract you and anyone around you from sleep. Mind you, this is with it's ""brief mode"" turned on, which is supposed to make it less talkative. Amazon also sometimes takes the liberty of adding skills to your account, like some kind of Samuel L Jackson app, and I heart Radio, which makes it fudge the details on some commands like ""Turn off Tron Bulb Delta"" (All my stuff is under the ""Tron"" name, including light bulbs) and mistakes it for a command to ""Play Trombone music"". Until I figured this out and disabled the radio skill, it was a 50/50 nightly occurrence that turning off my light groups to sleep would result in less than helpful music. Although I imagine some of these are intended to train you on it's functionality over time, if I want it to do something, Ill ask it. I don't need it telling me to "" by the way, try saying-"". Whats even more annoying is the fact it will tell you the same suggestions over and over. No Amazon, I don't want you to play white noise for me. You've told me no less than 10 times. I'm sure your proud of your white noise recordings, but I heard you the first time. STOP ASKING ME. DONT ASK ME IN THE FIRST PLACE. And mind you, these are just the annoying issues related to trying to SLEEP with the thing in operation. There is so many other annoying ""by the way"" messages.\n",12 people found this helpful,Color: CharcoalConfiguration: Device only
Echo_Dot_5th_Gen_2022_release_With_bigger_vibrant_sound_helpful_routines_and_Alexa,29.99,,,Missy Hoppe,3.0 out of 5 stars,"Reviewed in the United States \U0001f1fa\U0001f1f8 on January 16, 2023",Wish I would have kept my second generation dots,"\nI have been an Alexa user ever since 2015; got an invitation to buy the 1st generation echo, and that device is still at my parents' house. For many years, I was very happy with the three white 2nd generation Echo dots I had here in my apartment. Thanks to their built in  headphone jacks, I had each of them connected to a pair of Bose mediamate speakers, and they sounded awesome! Everything was working beautifully, but when I heard that the 5th generation dots not only had built in temperature sensors, but also that they came in blue, I couldn't resist. So, I found a new home for my three faithful 2nd generation dots and bought the new deep sea blue ones as soon as they were released this past October.I was disappointed to discover that Amazon had removed the headphone jack on the new dots, but it wasn't the end of the world by any means. After all, these new dots do have significantly better sound. If the loss of the headphone jack was the only issue, I wouldn't be writing this review. I sometimes feel that my old echo dots understood me more clearly and made fewer mistakes, but even that, I can deal with for the most part.My biggest issue with these new dots is an admittedly weird, possibly even eunique one, but it's enough to make me seriously regret my purchase. On my old dots, I used a morning routine from the gallery; I believe it was called ""weather after alarm."" When I dismissed my alarm at 5:00 each weekday, Alexa would say good morning and then tell me the weather. It was a great way to start my day, but unfortunately, it hasn't worked even once since I got these new dots. I've tried every trouble-shooting method under the sun: most of them multiple times, and no matter what, I cannot get a routine to trigger when I dismiss my alarm. I've tried contacting Amazon technical support on numerous occasions, and have only been advised to perform the same trouble shooting steps I've already tried. I know it's a minor issue in the grand scheme of life but it boggles my mind that I can't seem to get anyone at Amazon to help investigate more thoroughly and maybe determine whether or not there's a software bug with the new dots that is causing this issue. I've tried researching this issue on google and youtube, and there just aren't any answers out there, so maybe it is user error, although I have no clue how that's possible at this point.Bottom line: as much as I make use of the feature that will allow Alexa to tell me the indoor temperature, if I had it to do over again, I would have just kept my old dots until they stopped working. My advice would be that if you already have echo devices that are meeting your needs, give the 5th generation dots a hard pass.\n",18 people found this helpful,Color: Deep Sea BlueConfiguration: Device only
Echo_Dot_5th_Gen_2022_release_With_bigger_vibrant_sound_helpful_routines_and_Alexa,29.99,,,drol343,3.0 out of 5 stars,"Reviewed in the United States \U0001f1fa\U0001f1f8 on March 26, 2023",Still just a toy,"\nEven with all the years Amazon has put these things out, they're difficult to deal with when you have more than one. And they still seem like just a toy. And one thing I want to bring out too if you're buying. Alexa, they now decided that they know better than you what you want on your playlist. So if you take your time and set up a playlist for say soft music that you want, Amazon says no. We know better than you. We're going to add songs into it. And if you don't like it, you'll have to pay $7.99 a month from music. Again. It's the big guy beating up on the little guy anyway he can to get more money out of you. His 150 billion just isn't enough. You should take some of that money and fix this thing.\n",One person found this helpful,Color: Glacier WhiteConfiguration: Device only
Echo_Dot_5th_Gen_2022_release_With_bigger_vibrant_sound_helpful_routines_and_Alexa,29.99,,,Lsqud,2.0 out of 5 stars,"Reviewed in the United States \U0001f1fa\U0001f1f8 on November 13, 2022",Wait To Buy,"\nI almost never leave ratings or comments but In this case I had to.I upgraded from Alexa Gen 4 but am very disappointed. Day 1 [3 days ago] the device would not set up fully, after 2 hours on phone with tech support it fully worked. Hung up and 5 minutes later it stopped working. Since then I have called tech support 5 times but to no avail. One time I was yelled it, twice hung up on, once told Alexa couldn\u2019t do anything but play music, another time was told to call light bulb manufacturer etc. After all this the device is still not fully working!All agents do not listen (except the very first one I spoke with. God, I wish I could talk to her again.  She was AMAZING!  If anyone at Amazon reads this please look up who that was and please have her call me?) Agents are hell bound to have you pair. No matter the issue you WILL pair the device. I told them many times my device is paired and that\u2019s not the problem but it falls on deaf ears.  YOU WILL PAIR.  PAIR AGAIN. PAIR AGAIN. PAIR AGAIN.  PAIR AGAIN. Ad nauseam.  The agents only seem trained to do that one thing and if your issue varies from that script they learned in training they have no clue what to do so, PAIR AGAIN! Finally they admit defeat to themselves then they do their best to get you off the phone; by hanging up or just not talking or, giving you some BS about something irrelevant (eg Firestick, ITunes etc.)  They have \u201cno supervisor\u201d or, they claim to be \u201ca supervisor\u201d which is very doubtful when they didn\u2019t even know there even is a 5th generation or do not know that Alexa can turn lights on /off.Back to the hardware, the 5th Gen constantly turns my IPhone Bluetooth off even though it needs it to work.  An unmentioned  \u201cupgrade\u201d I found on the 5th Gen is when you turn the device on you are forced to hear random music from Amazon music which you can not stop or pause until at least 15-20 seconds elapse.  BTW the \u201cupgrade\u201d to the music occurs every time it turns your Bluetooth off and you must turn it back on, which like I said, mine is doing all the time.The 5th Gen also doesn\u2019t seem to hear as well as the 4th Gen did.  At least 50% of the time when asking Alexa a question I get the response  \u201cI\u2019m having trouble hearing\u201d and I\u2019m only 3 feet from her with no background noise.Regarding sound quality, I am a huge music fan and I only hear a very slight improvement over my 4th Gen, not enough to justify upgrading if music quality is your deciding factor IMO; however; my partner hears a big difference so maybe it depends on music genre (Our preferred genres are polar opposites,)I considered that I may have gotten a \u201cdud\u201d or a \u201clemon\u201d device but Amazon refuses to even consider that because they can \u2018see\u2019 the device online, however to me that only shows the WiFi on the Gen 5 works, but not necessarily all the other functions (ie Bluetooth etc.) but it\u2019s my theory vs Amazon.I really want my 5th Gen to work and to love it as I did my Gen 4 but after 3 days and many frustrating calls I think I may return it and go back to my 4th Gen.I think the 5th Gen could be great but it needs more time in beta testing and/or a complete \u201cdo-over\u201d.  IMO I would advise others to wait until a new version of Gen 5 is available or even Gen 6 is available.\n",2 people found this helpful,Color: CharcoalConfiguration: Device only
Echo_Dot_5th_Gen_2022_release_With_bigger_vibrant_sound_helpful_routines_and_Alexa,29.99,,,JimT,3.0 out of 5 stars,"Reviewed in the United States \U0001f1fa\U0001f1f8 on April 14, 2023",Disappointed,"\n*Update - I appreciate Amazon reaching out to me regarding this concern. Albeit problem not solved, at least they noted suggestion of separate volume for Alexa voice. I must say, I am impressed with this thing and what it can do, including home automation.First review -Very disappointed in the vocals of this device. Would have been better if Alexa's voice had a separate volume setting. Difficult to hear her at set volume, the music plays louder than her voice.\n",One person found this helpful,Color: CharcoalConfiguration: Device only
Echo_Dot_5th_Gen_2022_release_With_bigger_vibrant_sound_helpful_routines_and_Alexa,29.99,,,Barbara A. Black,3.0 out of 5 stars,"Reviewed in the United States \U0001f1fa\U0001f1f8 on April 16, 2023","Quit working on April 16,2023 Cannot get support and cannot return",\nI like the product operation but it quit working mid April of the same year I purchased it. I tried to reach customer service and all they could tell me that no operator was available to speak with me because the lines were packed with Echo Dot owners and to call later. She said she could not speculate what the problem was. My rating of a three is mainly due to poor customer service and the fact that I may just lose my money.\n,,Color: Deep Sea BlueConfiguration: Device only
Echo_Dot_5th_Gen_2022_release_With_bigger_vibrant_sound_helpful_routines_and_Alexa,29.99,,,TheElderGodFather,1.0 out of 5 stars,"Reviewed in the United States \U0001f1fa\U0001f1f8 on April 11, 2023","Meet the new tech, worse than the old tech","\nBought two of these in December using some shopping points via Kohls.Specifically bought them as I have a Ring Pro alarm system with Eero intergrated and wanted to use these for their wireless repeater ability...Initially set one up in the room with the Ring Pro and one on the far side of the house - ok, that works well, Eero picks it up and lets me set up the repeat abilityThen I move it to my sunroom, just past the living room (where the ring pro is) - works fineThen I move it to the game room, it's intended position - works great for the better part of 2 monthsabout a week ago (start of April) it would give me messages that it couldn't find devices online when I asked to control smart home.  Check the Alexa app - it's offline, Check EERO app, it's ""having trouble connecting""Attempt automatic and manual rebuilds, 2, 3 times.  Both from where it was in the Game roomthen moving it within line of sight of the main router, less than 30 ft away in the SunroomWould not connect.Google Echo Warranty support - 1 year.Good, that's to be expected, all my previous echos had that kind of warranty...Chat up amazon support - oh, so sorry, it's no longer under warrantyWHAT?!?  - 3 month warranty now.Honestly...Between my echo shows constantly showing me news \\ opinions \\ ads etc even when I turn off every feature for my home screen content (and of course every time they add one... *if* you get to unselect it, it's always opt out and not ""opt in"" to begin with.  Followed by those three words that start to infuriate me more than anything else ""BY THE WAY....""  which after the news of echo supposedly ""losing"" amazon money has become infuriatingly more common...oh and Ring Pro, with EERO... the radio system that can't even transmit more than 50 ft if there's 1950's drywall and a brick wall between you and it.  with no ability to turn off wifi or even manipulate the channel to get best performance (because I have to use another network to make my stuff work and Eero seems to think the ""best"" and ""clearest"" channel is ... you guessed it, the one my other system is on.Honestly, the customer service rep gave me a gift card credit for another one, but I won't be buying it.I just wish Google / Nest was a functional alternative ... because everything I see, it works with fewer things and has less ability with routines etc.\n",,Color: CharcoalConfiguration: Device only
Echo_Dot_5th_Gen_2022_release_With_bigger_vibrant_sound_helpful_routines_and_Alexa,29.99,,,KatzenBooks,3.0 out of 5 stars,"Reviewed in the United States \U0001f1fa\U0001f1f8 on January 2, 2023",Not the upgrade I hoped it would be,"\nI use an older hockey puck style Echo every day, and looked forward to what I thought would be a big improvement in sound.The Echo is my main audio  device and I would gladly pay more for something that worked really well. Esp. with Amazon music service, I guarantee there are a lot of people who rely on it the same way, and I don't understand why Echoes aren't basically just high quality speakers you can interact with. They're more like an interactive device that happens to have a not great speaker attached.The blue shade is pretty and unexpected for an electronic device, so I was happy with that, but totally underwhelmed by the sound. It's only a hair clearer than my older Echo, but basically no difference - plus there was an annoying fuzzy background noise. Curiously, the Alexa voice volume was not consistent, though that may not be the device's issue.It also shocked me three times as I set it up. I was barefoot on a hard floor so I'm not sure that it was just static electricity. Did I get a wonky one? Quality control is high, but the rare glitch is inevitable, so if so, it's not a big deal. Or maybe the box was dropped in shipping and something came loose.Or maybe it really was just static. The point is that I recognize my experience may not be representative of this item as a whole. Whatever the cause, I was not impressed with the new Echo's performance and returned it.\n",,Color: Deep Sea BlueConfiguration: Device only
