product_name,base_price,config_price,bundle_price,names,stars,dates,titles,reviews,helpfuls,config_color
Echo_Dot_5th_Gen_2022_release_With_bigger_vibrant_sound_helpful_routines_and_Alexa,29.99,,,Dave Bolduc,3.0 out of 5 stars,"Reviewed in the United States \U0001f1fa\U0001f1f8 on March 14, 2023",Did Alexa get stupider or is it just me?,"\nThe product looks quite sharp. The design look is quite pleasant and the volume and sound quality are remarkably good for a unit the size of a softball. The WiFi range is lacking, severely. My office is the farthest room away from my router but she is the only device with connectivity issues. I have a 2012 laptop that gets 4 bars in the same spot. She gets about 2. The voice recognition software is very impressive. She can distinguish my voice clearly from others with a room full of several chatting people and music/tv going in the backround. I have a very odd accent as I've spent each quarter of my 40 years in a different corner of the United States but she seems to have adapted rather easily and rarely fails to understand a command on the first try. I pulled stars because despite all her new bells and whistles she seems to have lost quite a bit of her playfulness and more basic commands. When she misunderstands a command, she does not even get it close and I get a lot of the defacto ""I'm sorry I can't do that"" responses to simple queries. When I was younger I remember sitting having an hour long smart-alec b.s. trash talking session with my uncle's Alexa. This one is boring and no fun to joke around with. She also cannot retain instructions and preferences by voice. Some can be done via the app. But if I wanted to interact with the app on my phone, I wouldn't have bought the pod. I've told her endless times that Spotify is my preferred music player, but unless I specify Spotify in the command she defers to Amazon music. Overall she's become more Amazon's than my own product. Much less independent. Amazon should be giving these away for free for the amount of permission and intrusions needed just to use her. It claims she can integrate with any Bluetooth audio device. This is a lie. She can scan and find her own products no problem but my expensive non-amazon Bluetooth audio devices are invisible to her. The Alexa accessories like light switches, cameras, speakers, thermostats are fairly cheap and basic and allow little to no user customization or expansion. The level of integration is also very basic. About as complex as simply getting a ""clap-on/clap off"" light switch. Now if there was a smart plug hub where I could plug in all my office devices and instruct her to power on my workstation upon entry to my office(meaning activate my computer, desk light, air conditioning, and interactive display) but leave the rest of my electrical devices plugged in there deactivated unless instructed otherwise, that would be neat. I'm also somehow quite uncomfortable with giving her access to any cameras in her home as we know Alexa has behaved as a spy and unauthorized gatherer of personal information in the past. This model has a ""privacy mode"" based on the honor system and a very reassuring red light to designate this.  Yeah, trust is a hard thing to get back once you've betrayed it. She does not have a battery. This is a major design flaw. My 20 year old clock radio has a backup but my brand new Alexa does not. So every single time we lose power or I have to unplug her to move her, I have to go through the ENTIRE process of putting her back into setup mode, reconnecting her to my wifi. An absolute insufferable pain. Also, she does things for no apparent reason, which again makes me nervous. Normally when idle or not in a set mode, her base black out. Occasionally I will be watching her and she will just begin to pulse a color at the base for random periods of time for no explainable reason. I've asked her to explain herself and she plays dumb. Sometimes a song will come on in shuffle play that I will like and I will ask her afterwards to identify the last song she played. She cannot do this. I ask her to identify the last task I had her perform, she cannot do this. I ask her why she is blinking, she cannot do this. She can adjust her volume up or down one small phase at a time verbally, but mutes the music while executing the command but does not pause it. To go from very quiet to very loud is a process of about 30 seconds, 10 requests, and a starting over of the track. Overall she is limited, does not learn. Little to no AI, and is mostly an exercise in frustration rather than convenience. Another MAJOR design flaw, she cannot be made to respond only to my voice or to refuse a specific voice. We learned this the hard way with my young nephew who spent a good 20 minutes playing hit or miss demanding calls to names he was guessing from my address book and even our local police. A 5 year old is going to stupid things. A 5 year old is going to talk to and play with damn near anything that will play with it.  How in god's name did no one at Amazon think it a good idea to put a ""parent"" or ""owner"" mode where she answers only to my voice, or uses that amazing voice recognition software to single out and restrict a voice. Does anyone at Amazon have children? Or do they simply not like Amazon products either? If you are willing to do things her way, she can be an asset. If you want something that can adapt to and work with you, she's a frustration and a liability. If you want an attractive centerpiece for your livingroom to impress your friends with your ""smart house"", shes perfect. I thought newer would be better. Overall I'm dissapointed with this product and miss my echo dot.\n",81 people found this helpful,Color: CharcoalConfiguration: Device only
Echo_Dot_5th_Gen_2022_release_With_bigger_vibrant_sound_helpful_routines_and_Alexa,29.99,,,Pizzle,4.0 out of 5 stars,"Reviewed in the United States \U0001f1fa\U0001f1f8 on October 21, 2022","""UPDATE 3"" - It has some downsides but good overall.","\nFINAL UPDATE!!!If you have a dot already and you're not in a rush to update you're not missing out. The sound quality is better. Like most people I connect my dot to a Bluetooth speaker. So the updated sound quality is mute.The Eero installed mesh wifi is cool if you need to kill a dead zone. Definitely worth it ONLY IF you already have and Eero or plan on getting one. Tech support isn't the best in this department. Read below. When I did get the tech support in the U.S. the knowledge of the Eero wifi was much better. The Tech Support they out source to foreign countries is terrible. They told me the Dot and the Eero don't work together because I didn't buy them together. Amazon was quick to give me a phone call after my review so know that they do read reviews and in good faith will do everything to rectify the problem (A huge plus for Amazon.)So the problem I had was not with the Echo Dot, but with the Eero wifi mesh extender.With the Eero it's all about placement when it comes to these Echo dots. You want your Echo to be in the 5ghz range and NOT the 2.5Ghz. range. Do what you can to get the hub closer. It makes a HUGE difference. I did some digging online and found out that the Eero does well and placed up high also. I purchased a 100 foot cat5 network cable ($17). I Moved the Eero hub to the center of the house. I set it on top of a cabinet. The back room, where I was pulling 5-20mps is up to 432mps download. That's without using the Eero extension on the Echo Dot.The dot has a motion sensor and tempurature sensor that works with my Smartthings Hub. I have not used them because I already have motion and temp sensors in this room that have active scenarios working.I'm going to keep this one and test the sensors a bit more and compare them to ones I have set up already.I would give this four stars but I can't overlook the comedy of foreign tech support. This would've been a frustrating experience if I was pressed to get things working.ANOTHER UPDATE!!!!This junk is going back to the pit of hell it came from. Both of them. It's a good idea but fails in its execution.The Eero built into these are random. Sometimes you connect, sometimes you don't. I could stand a foot away from it and it will not connect to the Eero.This is a BRAND NEW product. If you buy this know that you are part of the BETA TEST crowd. You are the guinea pigs that Amazon is perfecting this on. So you pay your money so they can test this out.On one of my many calls to tech support they told me they only had very little training on these.The old wifi worked better than this.IT IS NOT READY FOR PRIME TIME!!!!!!!!  WAIT TILL THEY WORK THE KINKS OUT!!!!New update!!!They don\u2019t know what the hell they are doing at tech support.Stupid stuff I was told.1. It will only work when you buy them together. (The Eero and Echo dot with Eero installed.)Firmware needs to update. \u201cHow do I do that?\u201d I ask. \u201cI escalated the ticket to a higher level tech support.\u201d I hung up. Called back and got a different tech. They told me to update simply tell Alexa,\u201dAlexa, update firmware.\u201d Like I told the other tech, the firmware is updated. Two tech calls ago the guy did it.So now they say they gotta call me back because they need to figure it out. LOL!!!!!STOOOOPID!This gets worse and worse. So now I\u2019m on the phone AGAIN with tech support. This idiot told me the Echo Dot with EERO won\u2019t work with the Eero mesh I purchased because ,\u201dI did not buy them together.\u201d What special kind of stupid is this!! So Eero is putting their name on products that do NOT work with other EERO products. I asked to speak to someone else. I\u2019ve been on hold for 20min.Amazon got something\u2019s right but this is a mess.Tech support has no clue on how to fix this. I\u2019m going to return this crap. But now I want to see how dumb tech support is.They asked which model do I have.There\u2019s only one with EERO in it.She didn\u2019t know that.Ten minutes later and I\u2019m back on the phone with tech support. Signal drops constantly. Tech support no help on this one hot piece of garbage!!!!I spent some time on the phone with tech support. This had to be configured so the Eero would work. I\u2019m getting good download speeds now. I hope it lasts. The sound is a bit of an improvement. More bass and highs. It\u2019s not easy to set up the Eero. They had to. Get inside and configure it to work. A hassle but it works. Tech support for Amazon can\u2019t help. Call the Eero hot line.This won\u2019t even hold the wi-fi signal. My router is the the living-room. The download speeds standing next to the Eero mesh wifi is great. 550mps.In the office I installed the New Echo dot with eero installed for mesh. Without the Echo dot I\u2019m getting 91mps. That\u2019s just off the Eero transmitting from the living room. Better than I expected.Now when I hook the Echo Dot up and I run the test.I get a whopping 0.14 mbps download. I\u2019m sitting a foot away from it.Total garbage.\n",446 people found this helpful,Color: Deep Sea BlueConfiguration: Device only
Echo_Dot_5th_Gen_2022_release_With_bigger_vibrant_sound_helpful_routines_and_Alexa,29.99,,,Doc Jackson,5.0 out of 5 stars,"Reviewed in the United States \U0001f1fa\U0001f1f8 on April 27, 2023",Easy setup and operation. Works well - but there are bugs - be aware,"\nOk, bugs first: Adaptive listening is a huge problem. It causes Alexa to mis recognize things. For me, telling Alexa to turn on either the Office AC or the bedroom AC caused her to turn on EVERYTHING in the room. BEfore you start giving me suggestions - don't waste your breath. I have already spoke with tech twice and PROVEN that there is a bug in the adaptive listening that causes her to do things she was not asked to do or to NOT do things she was asked to do.Otherwise, it's PERFECT! There are some issues still with other apps that interact with Alexa, but those aren't her fault!Overall, I'm SUPER happy I moved from Google Home devices to the Echo devices! I'm still learning, but overall pretty happy with them at this point!\n",3 people found this helpful,Color: Deep Sea BlueConfiguration: Device only
Echo_Dot_5th_Gen_2022_release_With_bigger_vibrant_sound_helpful_routines_and_Alexa,29.99,,,Christopher,4.0 out of 5 stars,"Reviewed in the United States \U0001f1fa\U0001f1f8 on February 28, 2023",Pretty neat,"\nThe speaker has a very high quality sound output relative to its size and even if it was four times bigger I would still be happy with the sound quality and loudness that comes out. And it came with this light bulb that I can tell Alexa to dim it to whatever percentage I want to and to turn it on and off whenever I want to which is actually really cool.It would be nice if behind the cloth that in cases this little sphere, that it would display the time and temperature. But at last, it does not, so now I either have to speak out loud and ask Alexa or I have to go get my phone and look at it to see the time. It's trivial but and actually makes a big difference compared to if it did or did not have that feature.They also make it a pain in the butt for the setup procedure. Most people just want to screw the lightbulb in plug in the Alexa and tell it to play music or tell it to tell me the forecast of the day and to set an alarm and to dim a light or turn it off or make it brighter. I don't need 600 questions during the setup procedure. It's like, just let me set it up and get the basics and I can find tune it later. You don't buy a house and then get asked $6,000 things that you want to do to your house and your hopes and dreams for the house. You literally just address those things as they come along while you live at the house. And that's how it should be with this speaker thing. I'm just a man who doesn't have a lot of patience and I acknowledge that, so that's just purely a subjective opinion from an inpatient man that appreciates the sound quality and features of this Amazon Alexa speaker thing\n",One person found this helpful,Color: Glacier WhiteConfiguration: w/ Philips Bulb
Echo_Dot_5th_Gen_2022_release_With_bigger_vibrant_sound_helpful_routines_and_Alexa,29.99,,,david h.,5.0 out of 5 stars,"Reviewed in the United States \U0001f1fa\U0001f1f8 on April 16, 2023",Samsung cellphone,\nThe person I bought this for is disabled and is paralyzed from the neck down and we were having problems with the Samsung\u2018s voice activation on the phone and we couldn\u2019t get it to work so I discovered this little echo dot and it took some time to set it up even for someone it kind of knows what they\u2019re doing but once you set it up with the app you can set it up to where no one can get into it into your account they can just access the data itself and it works really well with Samsung even though the Samsung phone locks it\u2019ll still activate calls it I still call people and you\u2019re still on to texting for you if you want so it works out really well for the sky cause he can\u2019t use his hands at all\n,3 people found this helpful,Color: CharcoalConfiguration: Device only
Echo_Dot_5th_Gen_2022_release_With_bigger_vibrant_sound_helpful_routines_and_Alexa,29.99,,,Douglas Myers,5.0 out of 5 stars,"Reviewed in the United States \U0001f1fa\U0001f1f8 on April 26, 2023",This little ball is a miraculous item,"\nMy wife is legally blind and in need of a device to assist her with everyday chores.  This does it all.  She can make calls, receive calls, it is paired with our Dish TV Receiver and she can change channels without the touch controller which she has problems locating the proper buttons.  It is also paired with our AT&T contact list snd she can call any of our contacts by name.  This thing is fantastic.  And setup was a bit lengthy but the step by step guides made it relatively easy and error free.  I highly recommend this product.  It is very small by full of ability.\n",3 people found this helpful,Color: Glacier WhiteConfiguration: w/ Smart Plug
Echo_Dot_5th_Gen_2022_release_With_bigger_vibrant_sound_helpful_routines_and_Alexa,29.99,,,Bodhidharma,4.0 out of 5 stars,"Reviewed in the United States \U0001f1fa\U0001f1f8 on March 25, 2023","All in all a good device, but the sound is really its weak point.","\nAfter four months of usage I can finally give an educated opinion on this version of the Echo device.As my title states, overall it is a ""good"" device with a few weak points.Voice recognition is good, processing of commands is fast (I own every single version of echo and older echos take longer to give results of your requests)The temperature sensor was a nice addition, but it doesn't work. I have three of these devices in three different places around my house, every place has a different temperature yet they all seem to report the same temperature that is NOT an average either so..... what is it measuring then?Sound is where it lacks the most. The sound reproduction is dull, even kind of muffled. If you got it as a BT speaker to actually enjoy music then look somewhere else. I have found that sound is VERY inconsistent between these devices. I have a few echo 3 devices and they sound ""ok"" but one of them has SUPERB sound. It baffles my mind how this can be possible, but there it is.All in all, it is a good device and I recommend it, hence why I keep buying them. BUT it depends if you are going to use them at their fullest or just as a BT speaker. If for only the latter, then look somewhere else.\n",4 people found this helpful,Color: CharcoalConfiguration: Device only
Echo_Dot_5th_Gen_2022_release_With_bigger_vibrant_sound_helpful_routines_and_Alexa,29.99,,,Crazy Dave,5.0 out of 5 stars,"Reviewed in the United States \U0001f1fa\U0001f1f8 on April 18, 2023","Buy an Alexa, You'll like it !","\nMy friends kept telling me I should buy an Alexa. One friend gave me a demonstration of how easy and fast it was to obtain an internet radio station. Or how quickly it will solve mathematical problems. I was convinced, and bought one. Liked it so much I immediately ordered 4 more. Turns out you can synchronize all of them, so they play the same radio station or music in each room of your home. Although Alexas are smaller than a softball, they have amazingly rich sound. No, they won't replace my $2500 stereo system, but they have replaced all my internet radios and boom-boxes. Soon, I'll be installing electric switches the Alexa can control. Buy an Alexa. You'll like it !\n",6 people found this helpful,Color: CharcoalConfiguration: Device only
Echo_Dot_5th_Gen_2022_release_With_bigger_vibrant_sound_helpful_routines_and_Alexa,29.99,,,foooter,4.0 out of 5 stars,"Reviewed in the United States \U0001f1fa\U0001f1f8 on March 29, 2023",Alexa without the ads,"\nI recently traded my Echo Show for this Echo dot. Here's the deal, I originally thought, ""having a screen on the echo that I have in the kitchen will allow me to look at recipes and allow me to see people that ring the doorbell on my blink doorbell!"" But did I ever actually use any of those features? Nope.Now aside from just having extra features that I did not use, I could not stand how many ads would show on the screen regularly. As a parent with toddlers who love to ask about everything they see, the least amount of screens around my house, the better.I enjoy the functionality of Alexa and the integration with my other smart home items, but I'm not sure I'm ready to trade ease of use for ads in my face. As someone who owned the very first Echo that was released, these things have come a long way. The audio quality is by no means killer, but it will definitely serve to play your music or a storybook for your kids with plenty of volume to spare. If you are using the Eero wifi system, this will also serve as a range extender, allowing you to have your other Eero devices in other parts of the house.So in conclusion, unless you are certain that you need another screen in your house, save yourself the money and get this Echo.\n",14 people found this helpful,Color: CharcoalConfiguration: Device only
Echo_Dot_5th_Gen_2022_release_With_bigger_vibrant_sound_helpful_routines_and_Alexa,29.99,,,Hailey,5.0 out of 5 stars,"Reviewed in the United States \U0001f1fa\U0001f1f8 on April 27, 2023",Helpful & Portable,"\nI love Amazon Echo products & purchased this for my first apartment. I love the size of it & how light and portable it is so I can move it from room to room as needed. The Echo Dot has all of the features I need & it\u2019s great for white noise, setting reminders and timers, communicating remotely with the Alexa app, and playing games with the family. Highly recommend this model if you have never had an Echo before or if you need something that works in a small space.\n",,Color: Glacier WhiteConfiguration: Device only
