product_name,base_price,config_price,bundle_price,names,stars,dates,titles,reviews,helpfuls,config_color
Echo_Dot_3rd_Gen_2018_Charcoal,22.92,15.06,59.98,A Y G,5.0 out of 5 stars,"Reviewed in the United States \U0001f1fa\U0001f1f8 on April 23, 2023","You might get addicted, but they are very useful","\nIt started with just one. I think maybe it was a Gen 2.Then, we got the taller one. Forget the name.Now we have these just all over the place. Ours are mostly used to get the weather in the morning or set timers in the kitchen. Lots and lots of timers.When I am working on home, I also use it to set alarms before important meetings, because I have a tendency to forget.Recently we set them up at our parents house, who are getting a little older and a little more forgetful. Alexa reminds them to take their meds each day.We have set it up so all they have to do is say Alexa call for help and it will call all of their adult children. Gives good piece of mind. It is also connected to their TV and their lights so they can control them without having to find the remote or get up and hit the switch.They are connected to their blink cameras so they can be armed and disarmed when they leave or return to the house.We can also use them to talk to them, or they can use it to talk to their grandkids.They are really really useful.I also use it to listen to Amazon Prime Music during the day or podcasts from PBS. I am sure I use it more than most, but even I have just scratched the tip of the iceberg on what you can do with these things if you put your mind to it.They are great connected to your firetv, so when someone comes in while you are watching something, you can say Alexa pause, so they 1) know they just barged in and started talking without asking, and 2) when they leave you can just say Alexa resume and pick up where you left off, or Alexa rewind 30 seconds to give yourself a brief refresh to put you back on track.When I got my first echo speaker, I thought it was kind of a gimmick , but it is so useful. They even have the ability now to listen for things and act on them. Like, it can listen for running water which gives peace of mind when you are away from home, or crying babies or snoring, and take actions based on what it hears. You can use it to control your lights, even when you are not at home.If you can't tell, I am a big fan and recommend it to everyone. Sometimes I get pushback from some people about how it can spy on you. Perhaps this is caused by the interactive nature of the device which makes it clear that it is in fact listening to you, but these same people have no problem having a laptop or a phone in their home, which is just as capable of listening to you as these speakers are. I really do not understand the differentiation.\n",4 people found this helpful,Configuration: Device only
Echo_Dot_3rd_Gen_2018_Charcoal,22.92,15.06,59.98,Okie1010,4.0 out of 5 stars,"Reviewed in the United States \U0001f1fa\U0001f1f8 on September 3, 2021",Happy (and amused) with my unit,"\nIt seems people either love or hate Alexa. I like mine, but I don't love it. My wife is from another country--English is her 3rd or 4th language--she and Alexa do not always get along, so I end up repeating my wife's requests, which works most of the time. I've learned a few things, though. Never aske to play the same song more than once per week. When Alexa's AI figures out that you really like a song, it always goes to the $3.99 extra per month list of songs. It seems safe to ask for a specific group, i.e., the Rolling Stones or the Beatles, just don't ask for specific songs too often. My wife and I both love a wide variety of music, but my wife tends to get frustrated by Alexa and does not use the unit very often.I liked my generation 2 so well that I bought one each for a couple of family members and another one for myself (it is a generation 3). I was going to buy a third unit for my in-home office, but after transferring the 2nd gen from my bedroom for my office, I realized I could not concentrate on my work for listening to the music.I've heard all the stories about how Alexa is spying on me, but I'm not terribly concerned. I watch a fair number of YouTube videos--anything that sparks my interest--and the 3rd gen unit is right next to the TV, so, if it's recording my info, it's getting a wide variety from sensible to weird information. Also, I like to play the TV while I'm away from home, just to confuse the would-be burglars, and I usually play it on one of the traditional news channels, because they talk a lot instead of showing movies, and that should confuse the wannabe burglars more. I tried using Alexa for that, but the unit stops playing after half a dozen songs (just estimating), but the TV will drone on and on until I turn it off. When some of my more suspicious friends or relatives visit, I unplug the unit so they can talk candidly, just to make them feel more comfortable. I have been known to remind them that their cell phones and TV sets do the same thing, even when you turn them off.I've learned to be very specific about the music I want to hear. I never tell Alexa to play a song without specifying the artist. If she still picks the wrong song or artist, I try to ask in a different way, but usually find out that the song I want to hear is on the $3.99 per month additional list, which I do not subscribe to. The unit is usually pretty good about substituting a channel that has music I like--based on the song I asked for. I'm impressed that AI is as smart as it is in this tiny unit.Sometimes, when I get bored, I like to ask Alexa stupid or confusing questions, just to see how it answers. Yeah, I'm easily entertained, but it's surprising what the unit can come up with. I get a lot of ""Sorry, I don't know that.""My brother and I were trying to fix a leaky faucet in my daughter's home when her Alexa unit in the other room spoke to us. At first we thought someone had come in without our knowing it. Since it was a female voice, we did not start looking for weapons to defend ourselves from burglars, but we quickly went to see who was there. The house was empty. I laughed when my brother suggested the house might be haunted, but it made me stop and think. Later, my daughter reminded me about the Alexa unit I had bought for her--yep, same voice. The point is, you never know what will set the unit off. You do not have to mention its name or speak to it.I've never had a problem with the unit waking me up in the middle of the night, but it does start blinking yellow when I have a notification. Took me a while to figure that out. I get notified about storms, kidnappings in my home state, when an Amazon package has arrived, and a few other miscellaneous messages. It never wakes me up, except for when I set an alarm, but I have to set the alarms individually. I cannot tell it to wake me up every weekday morning at 7 a.m. I have to set a separate alarm for every morning of every day I want awakened. But it also allows me to set other alarms. For instance, I can tell it to set an alarm for 5 p.m., so I don't work too long on my computer. If I'm cooking something, I can tell it to set an alarm for 15 minutes from now; otherwise, I will ruin my lunch and stink up my house, because I don't think about food until 3 or 4 p.m.  All in all, I highly recommend the units.\n",99 people found this helpful,Configuration: Device only
Echo_Dot_3rd_Gen_2018_Charcoal,22.92,15.06,59.98,Mister Blue Sky,5.0 out of 5 stars,"Reviewed in the United States \U0001f1fa\U0001f1f8 on April 16, 2023","Meet Alexa, Your New Personal Assistant","\nThe Echo Dot 3rd Gen, released in 2018, is a smart speaker with Alexa that will change the way you interact with your smart home. The device is small and compact, but don't let its size fool you \u2013 it's packed with features that will make your life easier and more convenient.Setting up the Echo Dot 3rd Gen is incredibly easy. Simply plug it in, connect it to your Wi-Fi network, and you're ready to go. The device responds to voice commands and can do everything from playing music to controlling your smart home devices.Alexa, the intelligent assistant built into the Echo Dot, is incredibly versatile. You can ask her to tell you the weather forecast, set a timer, or even order food from your favorite restaurant. She can also control your smart home devices, such as lights, thermostats, and locks, making it easy to manage your home from one central location.The sound quality of the Echo Dot 3rd Gen is surprisingly good for such a small device. It features a 1.6-inch speaker that produces clear and crisp audio. You can also connect the device to external speakers via Bluetooth or an audio cable for even better sound quality.One of the best things about the Echo Dot 3rd Gen is its compatibility with other smart home devices. It works seamlessly with popular smart home brands like Philips Hue, Nest, and Ring, making it easy to control all of your devices from one central location.Overall, the Echo Dot 3rd Gen is an excellent smart speaker that is perfect for anyone looking to make their home smarter and more convenient. Its compact size, versatility, and compatibility with other smart home devices make it a great addition to any home. If you're looking for a personal assistant that can help you manage your life and your home, the Echo Dot 3rd Gen is the perfect device for you.\n",One person found this helpful,Configuration: Device only
Echo_Dot_3rd_Gen_2018_Charcoal,22.92,15.06,59.98,Juan Quiel R.,5.0 out of 5 stars,"Reviewed in the United States \U0001f1fa\U0001f1f8 on March 28, 2023",Must buy!,"\nThe Echo Dot 3rd Generation is a phenomenal smart speaker that offers exceptional sound quality, versatile functionality, and seamless connectivity. This device is packed with features that make it a must-have accessory for any modern household, whether you're looking to stream music, control your smart home devices, or simply get answers to your questions.One of the standout features of the Echo Dot 3rd Generation is its excellent sound quality. Despite its small size, this speaker delivers crisp, clear audio with a surprising amount of bass, making it ideal for streaming music or listening to podcasts. Its 360-degree sound design ensures that you can hear it from any angle, making it perfect for placement in any room of your home.The Echo Dot 3rd Generation is also incredibly versatile, with support for a wide range of smart home devices, including lights, thermostats, and security systems. Its built-in Alexa voice assistant makes it easy to control your devices using simple voice commands, providing you with a convenient and hands-free way to manage your home.Another great feature of this device is its seamless connectivity, allowing you to stream music from services like Spotify, Apple Music, and Amazon Music with just a few simple voice commands. It also features Bluetooth and 3.5mm audio output, making it easy to connect to other devices like your smartphone or tablet.The design of the Echo Dot 3rd Generation is also sleek and modern, with a compact and unobtrusive form factor that allows it to blend seamlessly into any home decor. Its fabric finish and rounded edges provide a soft and comfortable feel, while its simple and intuitive controls make it easy to use.Overall, the Echo Dot 3rd Generation is an outstanding smart speaker that provides exceptional sound quality, versatility, and connectivity. Its excellent sound quality, compatibility with a wide range of smart home devices, seamless connectivity, and sleek design make it an ideal choice for anyone looking to make their home smarter and more convenient. If you want a smart speaker that can do it all, then the Echo Dot 3rd Generation is the perfect choice for you.\n",10 people found this helpful,Configuration: Device only
Echo_Dot_3rd_Gen_2018_Charcoal,22.92,15.06,59.98,David J. Lauridsen Jr.,5.0 out of 5 stars,"Reviewed in the United States \U0001f1fa\U0001f1f8 on April 30, 2023","Super small size, sounds good, works well.","\nI bought this Echo Dot as a replacement for Gen 1 Echo (the taller cylinder) that we kept in the master bathroom. It quit after about 5 years, so we got this one. We use it primarily to check the weather and listen to music while getting ready in the morning. It is definitely smaller and takes up less space, which is nice. The voice recognition works fine, and the sound quality is perfectly fine for casual use.It integrates seamlessly with the Echo Show 8 we have in the kitchen, and all of the expected functionality works as advertised.Not specific to this device, but a feature request. I know these devices have a small list of ""wake words"" that can be set to trigger activity. (We changed from the default ""Alexa"" to ""Echo"") I would love to see a fully personalized/customized wake word that isn't from the set list.\n",5 people found this helpful,Configuration: Device only
Echo_Dot_3rd_Gen_2018_Charcoal,22.92,15.06,59.98,Mike S.,4.0 out of 5 stars,"Reviewed in the United States \U0001f1fa\U0001f1f8 on March 20, 2023",Powerful little speaker,"\nI bought this one for my living room & it's a good speaker. Since I already had the echo dot 5 set up, setting this one up was a breeze.  The only thing I have to say I dislike is the functionality, or lack thereof, of the roku skill that you can add to it.  Very few commands work on that so you're better off still operating your roku device with the roku remote but the echo dot does work well with voice commands for the smart tv I have.The sound is pretty good; I think the sound is a bit better on the echo dot 5 but the speaker is also in a different position in that device compared to echo dot 3.  I gave it a different wake word so that the other echo dot doesn't respond by mistake when I'm in the living room.  I'm still working on all the functions but so far I do like it.\n",2 people found this helpful,Configuration: Device only
Echo_Dot_3rd_Gen_2018_Charcoal,22.92,15.06,59.98,Dan,5.0 out of 5 stars,"Reviewed in the United States \U0001f1fa\U0001f1f8 on April 14, 2023",AI that listens to you when you don't think it is.,"\nI bought this, thinking I would like to have AI throughout my house. I discovered it is listening all the time and with the Chinese spying on America through tech, I unplugged mine. Before I did, though, I had serious trouble with her responding to me, she would often say nothing and the light would come on, as if she didn't have an answer. I felt she was condescending at times with her responses and definitely a little too liberal for me, when I asked questions of certain people, her response was obviously bent. Sound wise, she was great little sound package in such a small tech environment. She was able to play my Apple music, though sometimes getting her to understand what song I wanted was a challenge. I will not buy anymore of these and I will not be putting the ones I do have in my house, integrating them with other tech has been a disaster.\n",4 people found this helpful,Configuration: Device only
Echo_Dot_3rd_Gen_2018_Charcoal,22.92,15.06,59.98,C-4given,4.0 out of 5 stars,"Reviewed in the United States \U0001f1fa\U0001f1f8 on March 31, 2023",Works as well as my last echo,\nThis little one works as well as my old echo. I decided to trade in my old echo that was much bigger for this little one. I'm glad I did. It works almost as well and I can hide it behind my TV. It has trouble playing things on my fire TVstick. The commands confuse it sometimes. I think my old one did a little better with my fire TV stick. Not sure why it has trouble. That's my only issue with it is that I wish it communicatd and worked better with my fire stick.I have it hooked up with an Amazon smart plug and it works great with that. Just tell it to turn on the light and it does. I'm hoping to get and try some smart light bulbs soon. Then use my plug for something else.\n,One person found this helpful,Configuration: Device only
Echo_Dot_3rd_Gen_2018_Charcoal,22.92,15.06,59.98,Robert Greenwood,5.0 out of 5 stars,"Reviewed in the United States \U0001f1fa\U0001f1f8 on April 25, 2023",Fun Accessory,"\nThis is not only a fun item, but also a necessary for seniors who have leg/hip issues. Once in bed or comfortably seated, it can be a problem for many seniors to get up and turn on or off lamps that may be out of reach. Also, talking/questioning Alexa can be a great mood lifter for seniors who live alone.  Buy one for a family member or a friend to make their day just a little bit better.\n",60 people found this helpful,Configuration: Device only
Echo_Dot_3rd_Gen_2018_Charcoal,22.92,15.06,59.98,Meet Me in Montauk,5.0 out of 5 stars,"Reviewed in the United States \U0001f1fa\U0001f1f8 on January 6, 2023","Review from, quite possibly, the last holdouts ever.","\nNormally, my reviews are lengthy, although I would prefer to think of them as ""detailed"".  With this one, I will be short.We just recently purchased this 3rd Gen Echo as our first foray into the voice-activated world.  Prior to this, although we are well-aware that our phones listen to us, in my mind, opening our doors to ""Ziggy"" (as our bedroom one is now called after a well-fought game of Rock, Paper, Scissors with my husband), was paramount to living with a spy.  Yes, I am one of those Microsoft and Google detractors because of their intrusiveness, BUT, I digress.I was home alone when the later-to-be named ""Ziggy"" arrived.  After immediately connecting / pairing it (him?) and accessing several songs which I could think of from Amazon Music, I began pairing it to our security cameras and our numerous smart lights and plugs.WOW!Nestled within that 'wow' of appreciation, was a sudden sadness.It isn't that the Echo did not perform well.  On the contrary.  It is that it performed so well, and that almost IMMEDIATELY upon voicing a command, something happens throughout our home.  THIS ... for just a moment -  made me think of how temporary we are as humans, and the fact that I would not be around in 100 years to see the marvels that are still to unfold in our world.  I know, I know.  A bit dramatic or cheesy as your view may be, but it happened.  Beyond that, (those of you who have seen the film Don't Look Up may understand), I thought of our petty differences as humans and how miniscule and unimportant they are, when the truth of the matter is that we really do live in an age where we have it all.A 'gadget' that can summon up those feelings and thoughts, well, that's one pretty decent gadget.P.S.  1. Ziggy has SO grown on my husband, he now insists that we also move Alexa into the home, and allow her the run of the rooms Ziggy can't quite reach.  2. I would very much like to 'rescue' the Alexa from the home of the Top Critical Review: 'Useless for Seniors'.  \U0001f917-------------------------------------------------------EDIT:  Perhaps because we have a dog named ""IZZie"", ""Ziggy"" does not work as well as ""Alexa"" does as a 'wake' word.  ""Echo"" works okay, although I find that it too skips or becomes confused(?) - lol - with phrases that ""Alexa"" handles just fine.  We have two Dots and only ever changed the names and voices (a couple of times) on one, so there may be an issue with that particular item.  I may contact Amazon in the near future to help me troubleshoot the issues, but they are minor, so not too put-off right now.\n",,Configuration: Device only
