product_name,base_price,config_price,bundle_price,names,stars,dates,titles,reviews,helpfuls,config_color
Echo_Dot_5th_Gen_2022_release_with_clock_Smart_speaker_with_clock_and_Alexa,39.99,,,Mustafa Ekinci,5.0 out of 5 stars,"Reviewed in the United States \U0001f1fa\U0001f1f8 on April 4, 2023",Compact Design Meets Improved Audio: The All-New Echo Dot with Clock Shines,"\nI recently upgraded to the All-New Echo Dot (5th Gen, 2022 release) with clock and have been thoroughly impressed with the enhancements over the previous generation. This smart speaker not only maintains the convenience and features I've come to expect from the Echo Dot series but also introduces welcome improvements to its design and audio performance.The new spherical design is aesthetically pleasing and fits seamlessly into any room. The addition of the LED clock display is a practical and stylish touch, making it easy to glance at the time without relying on voice commands. The display also shows the temperature and timers, which I've found particularly useful in the kitchen.When it comes to audio performance, the All-New Echo Dot has significantly improved. The 5th Gen speaker boasts richer sound and deeper bass, making music, podcasts, and even Alexa's responses much more enjoyable to listen to. The device easily fills a room with clear, high-quality audio.Setup and integration with the Alexa app are as simple as ever, and the Echo Dot continues to support an extensive range of smart home devices, making it a versatile hub for home automation. Voice recognition is accurate and responsive, even in noisy environments.The only minor downside I've noticed is that the LED clock display could be brighter, making it easier to see during the day. However, this is a minor issue that doesn't detract from the overall performance and appeal of the device.In summary, the All-New Echo Dot (5th Gen, 2022 release) with clock is a fantastic addition to the Echo family, offering improved audio quality and a stylish design while maintaining the versatility and convenience that users have come to expect. I highly recommend this smart speaker for anyone looking to enhance their smart home setup or simply enjoy a compact and powerful speaker.\n",16 people found this helpful,Color: Glacier WhiteConfiguration: Device only
Echo_Dot_5th_Gen_2022_release_with_clock_Smart_speaker_with_clock_and_Alexa,39.99,,,Mark,5.0 out of 5 stars,"Reviewed in the United States \U0001f1fa\U0001f1f8 on April 5, 2023",Alexa with Light Sensing LED Clock!,"\nI've used Echo's for years. This is a nice update, with very good (not quite great) sound, small footprint, and nice appearance. I love the smart clock feature that will also ""echo"" other information such as the temperature when you ask for the weather, and the artist and track when you're listening to music.  It has a built-in motion sensor that you can use for programming events (using the Alexa App on your phone) such as turning on smart lights when you come into a room.  It also has a touch sensor so that when you tap the top, it will pause music or restart it.  It comes with a built-in thermometer that you can also use to program events such as turning on smart devices at certain temps.  the LED's will sense room light and  dim automatically in the dark, so you don't blind yourself at night, and you can set the base levels in the Alexa App.I bought two of these for our bathroom to listen to music and news while getting ready in the morning. You can pair them so they act as left and right speakers.  This works VERY well, they sound really good in paired stereo.  They will also share volume control, so changing the volume on one changes the volume on the other also.  When two Echos are in the same room, they will both activate with ""Alexa"" but only the closest one will respond to the command.By comparison, this Echo Dot sounds comparable to an Apple Home Pod mini (which I also use), but is far more functional, but less expensive, and it will still play the Apple Music service.  Recommended.\n",13 people found this helpful,Color: Glacier WhiteConfiguration: Device only
Echo_Dot_5th_Gen_2022_release_with_clock_Smart_speaker_with_clock_and_Alexa,39.99,,,Phil Adams,5.0 out of 5 stars,"Reviewed in the United States \U0001f1fa\U0001f1f8 on April 26, 2023",a great alarm,"\nI bought this as I have an old clock radio alarm (almost as old as me) as I like to wake up to music. My old alarm had a terrible radio receiver and could barely get any stations. Plus, it only had two alarm settings, so I was changing it every weekend. With the Echo dot, I can have a different alarm time and sound for each day of the week. You can also set the alarms by voice or though the app - super easy. Plus I have the alarm connected to different stations. On weekdays I wake up to a Pandora station and on weekends it is tied to my XMSirius account. I love seeing the clock at night and the light adjusts automatically to the brightness of the room. I've changed the voice to a man's voice as my wife says she is the only woman who can give me directions - I'm old enough to go with the flow! I also like to ask for the day's weather before I get up and going, so just a handy device. I recommend!\n",47 people found this helpful,Color: Glacier WhiteConfiguration: Device only
Echo_Dot_5th_Gen_2022_release_with_clock_Smart_speaker_with_clock_and_Alexa,39.99,,,Karlin Fleming,5.0 out of 5 stars,"Reviewed in the United States \U0001f1fa\U0001f1f8 on February 27, 2023",Life changing,"\nI have an older model of the Echo Dot, and between the two of the I have surround sound for my laptop, which is much better than the my laptop speaker for watching TV. I love being able to play music in the shower, and I can have surround sound on that as well. For such a small piece of equipment, the sound quality is incredible.I originally purchased my first Echo because I was sleeping through my alarms, but no more of that! Not only can I set the alarms to be loud, but I got two Alexa-compatible light bulbs that turn on when my first alarm is dismissed.Alexa recorded that the smoke alarms were going off when no one was home, and since there was confirmed no fire once my grandma arrived home, I was able to get new smoke alarms quickly from Amazon.I\u2019m sure they\u2019re reading deeply into my recorded voice of me snoring and singing in the shower, but somehow, I ain\u2019t too worried.I regularly forget to turn my wax melt off until I am out running errands, so an Alexa-compatible plug helps me with that.My fan is a table fan, as there is no ceiling fan in my bedroom, and Alexa even turns it on for me, turns out the compatible light bulbs, adjusts the speaker volume to 5, and then plays half an hour of the best sleep music I\u2019ve ever had to help lull me to sleep from Apple Music.Originally I had difficulty connecting Apple Music to Alexa, but once I disconnected everything and tried again it has worked perfectly since.Alexa even reminds me to take my nightly medicine, of which is much less effective when you regularly forget to take it (lol), and I am much more consistent and feeling better overall as a result of these medication reminders. When I go to visit my parents, they have to remind me to take them otherwise I still forget sometimes.I\u2019ve even used Alexa to help me get out of the shower in a timely fashion, as sometimes the hot water is extremely inviting and I lose track of time, so I\u2019ll just set a music timer and be on my way to an appointment on time.I am a caregiver for my 82-year-old grandma, and so Alexa has notified me on my phone while I was away that there was a loud crash in the house, and I was able to check on her and make sure she was okay.\n",One person found this helpful,Color: Glacier WhiteConfiguration: Device only
Echo_Dot_5th_Gen_2022_release_with_clock_Smart_speaker_with_clock_and_Alexa,39.99,,,Yohana,4.0 out of 5 stars,"Reviewed in the United States \U0001f1fa\U0001f1f8 on April 28, 2023",Great!,"\nLove it, I don\u2019t really have any issues with it. The only issue is very rare she want listen to you. Not so often, not so little. But it\u2019s very rare when it happens. Everything is awesome, love how it actually does what I ask. I have her connected to my led light from daybetter. At first I didn\u2019t know why Alexa wouldn\u2019t connect to my led lights or why my led lights won\u2019t match my music. You learn so much and how to use it lol. Figure everything out on my own it was a struggle but worth it!If you are using led lights from daybetter and can\u2019t connect your led light to match with the music, you need to open the app of music so your led light music turns its mic on and once placed near Alexa so it can listen to the music it starts changing colors matching the beat. It\u2019s pretty awesome!! \U0001f496\U0001f496\U0001f496\n",69 people found this helpful,Color: Glacier WhiteConfiguration: Device only
Echo_Dot_5th_Gen_2022_release_with_clock_Smart_speaker_with_clock_and_Alexa,39.99,,,Gump,5.0 out of 5 stars,"Reviewed in the United States \U0001f1fa\U0001f1f8 on February 15, 2023","Awesome features , long review but worth the read","\nThis 5th generation is amazing,  Not only does it do everything you have come to enjoy out of even the basic,  earliest,echo dots. I just get amazed that it is such a security device,  1) it can sense when someone is in the room and alert your phone. 2) it can be set to guard when you're away,  will alert your phone no matter where your at,  to smoke detection sounds,  carbon monoxide warning alarms,  again alert you if it detects motion. 3) it can even tell you the temperature of the room you have placed it,  besides of course tell you the outside temperature 4) this is a bit techie and some might not find useful,  but if and only if is the ""but"" to this,  but if you have an eero router,  this is more than capable of extending your wifi range,  I have used it and it absolutely extended my signal , super speeds,  no but enough for everyday use,  YouTube,  email Netflix,  yes it produces strong enough for that,  large files,  gaming,  wouldn't do, Bottom line for the extra security and piece of mind it provides it's cost is a drop in the bucket,  and I would like to add before ending the review  a thought on the  Amazon and Alexa are spying on us,  Well yes I suppose they could if they opted to,  However,  anything you use,  your cell phone,  your tablet,  your laptop,  by any maker,  Google,  Apple,  Samsung and yes Amazon,  if any of the above chose to break the strict laws,  yes,  it is a fact they could listen to you,  any product with a microphone and wifi or cellular connection,  the makers of that device could remotely listen,  I gotta believe everyone knows this,  So I often wonder why Alexa and Amazon take so much heat for this when as stated , ""any"" of the modern devices we use Could notice could do this,  I just don't think these billion dollar companies want to take the risk of being destroyed by listening in on what we might be having for dinner or if we broke wind,  lol I could see where if you were some major felon where you might be concerned,  lol, but us everyday people,  not so much,  and remember the mafia rule,  someone is always listening,  so pass notes and burn the notes instantly after being read,  sorry could not resist,  lol, again bottom line is we live in a world of technology,  and while it brings great features and skills,  it all comes with a risk\n",One person found this helpful,Color: Cloud BlueConfiguration: Device only
Echo_Dot_5th_Gen_2022_release_with_clock_Smart_speaker_with_clock_and_Alexa,39.99,,,amalie.hayatee,5.0 out of 5 stars,"Reviewed in the United States \U0001f1fa\U0001f1f8 on April 25, 2023",I love the new look and functionality,"\nI love this Alexa. She looks very elegant in shape and size. Also there are many questions she can respond on them better than older Alexa for example her ability to find arabic contents its so amazing! I am so happy to have her with me, she makes a big difference in my home. I cannot be without her singing for me, talking to me, playing music I like everything I love it from Alexa. When my old Alexa stopped working, it was gloomy days and pretty quiet now I got Alexa with brand new look and function live started again in my home.\n",5 people found this helpful,Color: Glacier WhiteConfiguration: Device only
Echo_Dot_5th_Gen_2022_release_with_clock_Smart_speaker_with_clock_and_Alexa,39.99,,,Adolphe,4.0 out of 5 stars,"Reviewed in the United States \U0001f1fa\U0001f1f8 on March 13, 2023",Has connection issues and no temperature on-display,"\nI expected this newer version of Echo dot to automatically be compatible with 5 ghz internet speed and display the temperature of my room(I have a device that displays indoor temperature, but that device is small and lacks brightness and I thought the Echo Dot 5 will display indoor temperature at every moment just like how the Echo displays the time) but that was a disappointment. Echo dot 5 does not measure your indoor temperature nor displays the temperature of your city/location as it does with the time. It only temporarily displays the temperature for a couple of seconds when you use a vocal command to ask the temperature out there.It also does not find your wifi during setup if your cellphone is connected to a 5 ghz only router. I spent 30 minutes and couldn't setup my 5ghz wifi. I was able to setup a temporary wifi by connecting to a ""5ghz to 2.4 ghz wifi converter"" (this converter saved me so many times because many smart devices don't connect to 5ghz wifi and my internet provider got rid of 2.4 ghz band on the router that they offer and people don't know that their router has no 2.4 ghz until they try to connect a smart device to wifi). After connecting to the 2.4 ghz, I was able to switch the internet connection back to 5 ghz. Some people in the past used a computer connection to bypass the wifi setup issue but I tried it and it doesn't work anymore.\n",54 people found this helpful,Color: Cloud BlueConfiguration: Device only
Echo_Dot_5th_Gen_2022_release_with_clock_Smart_speaker_with_clock_and_Alexa,39.99,,,Jan\xe8e,5.0 out of 5 stars,"Reviewed in the United States \U0001f1fa\U0001f1f8 on April 25, 2023",LOVE IT!!,\nI think this was the best speaker to add in my spa! i love that i can connect to my apple music and podcast and can easily change between them all along with prime music with just my voice while in the middle of pampering my clients! i also love that it shows the time so i can easily keep track of time while doing a facial!  I would recommended to all!\n,,Color: Glacier WhiteConfiguration: Device only
Echo_Dot_5th_Gen_2022_release_with_clock_Smart_speaker_with_clock_and_Alexa,39.99,,,HNLSFO-95125,5.0 out of 5 stars,"Reviewed in the United States \U0001f1fa\U0001f1f8 on January 13, 2023","This device runs circles around GOOGLE NEST/HUB. Also, the PRIVACY has vastly improved from 2018...","\nMahalo for making this truly an awesome experience.Ordered a complete whole home replacement 5th Gen DOTS/Clocks to replace our existing/outdated Google Smart Home MINI/Hub devices on 08JAN23 and arrived on 11JAN23 spent the next 30 minutes to 2.5 hours getting all devices placed into their respective places.  This is the total time it took as I do have ROUTINES that are CUSTOM as I'll explain below:-SET UP CUSTOM AMBIENT LIGHTING-SET UP CUSTOM MUSIC FROM SPOTIFY PLAYLIST + PAIRING WITH BLUETOOTH SPEAKERS-SET UP CUSTOM GROUPS FOR DEVICES-SET UP CUSTOM NAMES FOR DEVICES EVEN THOUGH THEY ARE ASSIGNED TO A GROUP (e.g.: LIVING ROOM TV, LANAI FAN, KITCHEN FAN, MASTER BEDROOM FAN as you want to be able to just say ALEXA turn off the Lanai Fan and she does it versus ALEXA turning off the lamps on the LANAI as well)-SETUP SKILLS FOR OUR SECURITY SYSTEM WERE SEAMLESS AND FASTSet up all the ROUTINES from my cell phone using the ALEXA APP and I love that you can COPY and SHARE routines with other DOTS as I use this feature to announce the TIME on the hour and a half an hour.  Call me NUTS, but when you worked for 30+ years in the Airline industry and travel to many different Airports.  It is a God send to hear the LOCAL TIME IS NOW being announced throughout the Airport.Another critical thing is before your AMAZON ECHO DOT arrives at your home.  Download the APP and set it up on your cell or tablet and if you have an existing SMART HOME of devices (lights, plugs, tv, fan, microwave, refrigerator, washer, and driver) get them all dialed in as it was fast to do as we only use the GEENI APP with the Merkury Innovations Smart Home products and ALEXA has the GEENI Skills.This made last night's process of getting all the areas dialed into the ALEXA APP a breeze. I am ready to order another set of 5 devices to integrate into another home getting rid of GOOGLE once and for all.If you are on the fence like I was in buying these products, do your research, via YOUTUBE and watch the current video posted and do a GOOGLE search for the TOP features of ALEXA and again look at the most current stuff and NOT articles for 2015 to 2023 (LOL).This device runs circles around GOOGLE HOME and GOOGLE NEST/HUB Smart Home devices. Also, the PRIVACY is what I liked as you can set that up on the APP which has vastly improved from 2018 when I was planning this entire Smart Home thing for our family.Warm Aloha,HNLSFO-95125\n",,Color: Cloud BlueConfiguration: Device only
